man,"n.男人,人类,人,丈夫,雇工;vt.为...配备人手,操纵,在...就位,使振奋;Metropolitan Area Network 城域网"
feel compelled to,
manager,"n.经理,管理人员,管理器"
German,
manufacture,"vt.制造,加工n.制造,制造业,产品"
manufacturer,"n.制造业者,厂商"
policeman,n.警察
human,"n.人,人类adj.人的,人类的,人性的,有同情心的"
manly,"adj.男子气概的,果断的,雄赳赳adv.雄赳赳地"
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
manually,adv.用手
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
demand,"n.要求,需求(量),需要v.要求,需要,要求知道,查询"
chairman,"n.主席,会长"
gentleman,"n.阁下,先生,有身分的人,绅士,[pl.] 男厕所,男盥洗室"
a gentleman's agreement,
mankind,"n.人类,男性,男子"
management,"n.经营,管理,处理,操纵,驾驶,手段"
can,"vt.装进罐中,把食品装罐n.罐头,铁罐 conj.能,可以"
candidate,"n.候选人,投考者"
focus on,
cancer,"n.癌,毒瘤"
scan,"v.细看,审视,浏览,扫描n.扫描"
candle,n.蜡烛vt.对着光检查
power failure,
burn the candle at both ends,
can't hold a candle to,
the game is not worth the candle,
more,"adj.更多的n.更多adv.更,更多,更加,超过,多,大大高于 num.更多"
moreover,"adv.而且,此外"
furthermore,"adv.此外,而且"
people,"n.人,人们,民族,人类,公民vt.使住(满)人"
pay for,
low,"n.低,低价,牛叫声adj.低的,浅的,消沉的,微弱的,粗俗的,卑贱的,体质弱的adv.低下地,谦卑地,低声地,低价地vi.牛叫"
follow,"vt.跟随,追随,沿...而行,理解,遵循,从事,追求,注视vi.跟随,接着n.跟随,追随"
flow,"n.流程,流动,(河水)泛滥,洋溢vi.流动,涌流,川流不息,飘扬vt.溢过,淹没"
power grid,
in full flow,
go with the flow,
hollow,"n.洞,窟窿,山谷adj.空的,虚伪的,空腹的,凹的adv.<口>彻底vi.形成空洞vt.挖空,弄凹"
mat,"n.席子,垫子v.铺席子"
matter,"n.事件,问题,物质,内容,实质,原因,(印刷或书写的)文件,(文章或讲话等的)素材vi.有关系,要紧"
material,"n.材料,原料,物资,素材,布料adj.物质的,肉体的,具体的,重要的,实质性的"
let,"vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍"
run a risk,
completely,"adv.十分,完全地"
outlet,"n.出口,出路"
delete,vt.删除
line,"n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队"
between the lines,
gasoline,n.汽油
headline,n.大字标题
like,"n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望 prep.象,如同adv.可能"
likely,"adj.很可能的,合适的,可靠的,有希望的adv.或许,很可能"
dislike,"vt.讨厌,不喜欢n.嫌恶"
take the time,
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
unlikely,"adj.未必的,不太可能的,靠不住的"
know,"v.知道,了解,认识,熟悉,认出,分辨,确信"
knowledge,"n.知识,学问,认识,知道,<古>学科"
unknown,"adj.不知道的,未知的n.不知名的"
most,"adj.最多的,多数的,大部分的adv.最,最多,很,十分,最,最大的,其中大多数,极其n.大多数,大部分"
mostly,"adv.主要地,大部分,通常"
make,"vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情"
make like,
make it,
just,"adj.正义的,公正的,正确的,应得的,有充分根据的adv.正好,仅仅,刚才,只是,不过"
adjust,"vt.调整,调节,校准,使适合"
justify,v.证明...是正当的
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
unjust,adj.不公平的
new,"adj.新的,初见的,更新的adv.新近"
existing assets,
newspaper,n.报纸
lie,"vi.躺,平放,展现,展开,位于v.说谎,躺n.谎话,谎言"
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想"
belief,"n.信任,信心,信仰"
may," aux.可能,也许,可以,祝,愿n.(May) 五月,能,可能"
come across,
maybe,"adv.大概,或许n.疑虑"
mayor,n.市长
come,"vi.来,来临,到达,出现,来(自),出生(于),开始int.嗨! vbl.来,到达,合计为"
become,"vi.变成,成为,变得vt.适合,相称"
outcome,"n.结果,成果"
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
comfort,"n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和"
comfortable,adj.舒适的
income,"n.收入,收益,进款,所得"
get,"vt.获得,变成,收获,使得,挣得,受到(惩罚,打击等),染上,抓住vi.到达,成为,变得n.生殖,幼兽"
forget,"vt.忘记,忽略vi.忘记,忘形,忘乎所以"
less,"n.较少,较小adj.少的,小的adv.较少地,更小地,不及 prep.减去"
nevertheless," conj.然而,不过adv.仍然,不过"
endlessly,"adv.不断地,无穷尽地"
think over,
hang over,
careless,"adj.粗心的,疏忽的"
hopeless,"adj.没有希望的,绝望的,不可救药"
worthless,"adj.无价值的,无益的"
restless,"adj.得不到休息的,不平静的,不安宁的"
conversation,"n.会话,交谈"
in real time,
conversion,"n.变换,转化"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
conversely,"adv.倒地,逆地"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
convenient,"adj.便利的,方便的"
convention,"n.大会,协定,习俗,惯例"
conventional,"adj.惯例的,常规的,习俗的,传统的"
mean,"adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸"
means,"n.手段,方法v.意味,想要"
meaning,"n.意义,含意,意图,[逻]内涵adj.意味深长的"
meanwhile," (=meantime)n.其间,其时;adv.其间"
meantime,"n.其间,其时adv.其间"
want,"vt.想要,希望,需要,短缺,缺少n.需要,短缺"
run with it,
for want of,
give,"n.弹性,可弯性vt.给,授予,供给,献出,让步,引起,发表,捐助vi.捐赠,让步"
forgive,"vt.原谅,饶恕,宽免(某人)之债务"
list,"n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上"
specialist,"n.专门医师,专家"
letter,"n.文字,字母,信函,字面意义,铅字,(pl.)证书,(pl.)文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母"
first,"adv.首先,最初,第一(列举条目等用),优先adj.第一的 num.第一(个)n.开始,第一,(比赛)冠军"
at first,
come first,
at first hand,
life,"n.生命,生活,一生,寿命,生命力,传记"
need,"n.需要,必需,必需品,要求,贫困vt.需要 modalv.必要,必须"
form,"n.形状,形态,外形,表格,形式v.形成,构成,排列,(使)组成"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
information,"n.通知,报告,消息,情报,知识,见闻,资料,起诉 信息"
perform,"vt.履行,执行,表演,演出v.完成任务"
performance,"n.履行,执行,成绩,性能,表演,演奏"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
uniform,"adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服"
be conditioned to,
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
transformer,"n.[电] 变压器,使变化的人"
transformation," 9trAnsfE`meIFalism/9trAnsfE`malist/9trAnsfE`mally/9trAnsfE`meist/9trAnsfE` men/n.变化,转化,改EnEl/adj.[语]转籩IFEnElIzEm/n.[觘IFEnElIst/n.[语IFEnElI/adv.[语]IFEnIst/n.=trans适,改革,转换"
look,"n.看,注视,脸色,面容,外表vi.看,注意,朝着,好象,显得vt.打量,注视,用眼神(或脸色)表示,期待"
never look back,
look sb. up and down,
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
outlook,"n.景色,风光,观点,见解,展望,前景"
fee,"n.费(会费、学费等),酬金"
feeling,"n.触觉,知觉,感觉,情绪,同情adj.富于感情的,富于同情心的,衷心的,有同情心的,有感觉的,仁慈的"
coffee,"n.咖啡,咖啡树,咖啡茶,咖啡豆,咖啡色"
feedback,"n.[无]回授,反馈,反应"
place,"n.地方,地点,位置,职位,处境,住所,地位vt.放置,寄予,任命vi.名次列前"
problem,"n.问题,难题"
main,"n.主要部分,体力,力量,大陆,要点,干线adj.主要的,重要的,全力的n.[计] 主群组"
maintain,"vt.维持,维修,继续,供养,主张"
maintenance,"n.维护,保持,生活费用,扶养"
mainland,n.大陆
live,"adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地"
liver,"n.居住者,生活优裕的人,肝脏"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
lively,"adj.活泼的,活跃的,栩栩如生的,真实的"
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
hear,"vt.听到,听说,听取,审理,允许vi.听见,听到"
heart,"n.心,心脏,中心,心地,心情,精神,宝贝儿,感情vt.把...放在中心"
mad,"adj.疯狂的,愚蠢的,狂欢的,非常激动的,狂热的,着迷的n.狂怒"
get along,
down,"adj.向下的adv.向下,在下面,下去,降下 prep.往下,沿着n.绒毛,软毛,开阔的高地"
downward,adj.向下的
both,"adj.两者,双方的 pron.双方,两者"
in parallel,
bother,"vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰"
in the least,
light,"n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮"
in the light of,
set light to,
the light at the end of the tunnel,
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
daylight,"n.日光,白昼,白天"
in broad daylight,
lighten,"v.减轻,(使)轻松,(使)发亮,照"
listen,"vi.听,听从v.听,收听"
mate,"n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合"
playmate,"n.玩伴,游伴"
climate,"n.气候,风土,思潮"
classmate,n.同班同学
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
ultimate,"adj.最后的,最终的,根本的n.最终"
effect,"n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)"
for effect,
in effect,
take effect,
come into effect,
with immediate effect,
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
far,"adj.(常用于书面语)远的,久远的,遥远的adv.(表示空间或时间上的距离)远,很远,遥远地,久远地,甚远地,很,很晚地n.远处,远方"
farm,"n.农场,农庄,农田vt.耕种vi.种田,务农,经营农场,从事畜牧"
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
farther,"adj.更远的,进一步的adv.更远地,再往前地,此外,far 的比较级"
farewell,"n.辞别,再见,再会int.再会,别了!(常含有永别或不容易再见面的意思)"
even,"adj.平的,平滑的,偶数的,一致的,平静的,恰好的,平均的,连贯的adv.[加强语气]甚至(...也),连...都,即使,恰好,正当vt.使平坦,使相等vi.变平,相等n.偶数,偶校验"
prevent,"v.防止,预防"
absent-mindedness,
evening,"n.傍晚,晚间,后期,(联欢性的)晚会"
event,"n.事件,事变,结果,活动,精力,竞赛"
in the event of,
in any event,
in the event,
eventually,"adv.最后,终于"
friend,"n.朋友,赞助者,助手"
friendly,"adj.友好的,友谊的"
friendship,"n.友谊,友好"
important,"adj.重要的,重大的,有权力的,有地位的"
once,"n.adv.一次,从前,曾经 conj.一旦"
all at once,
at once,
for once,
once again,
once in a while,
once and for all,
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
concept,"n.观念,概念"
concentrate,"v.集中,浓缩"
concert,"n.音乐会,一致"
concentration,"n.集中,集合,专心,浓缩,浓度"
concerning, prep.关于
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
computer,"n.计算机,电脑"
few,"adj.很少的,不多的,少数的n.[表示否定]很少数,几乎没有"
paper,"n.纸,报纸,文件,证件,论文,考卷vt.用纸糊(墙壁等),用纸包装adj.纸的,象纸的,纸上的"
feel,"vt.摸,触,试探,感觉,觉得,触摸,以为vi.有知觉,(人)有某种感觉,摸索,同情n.感觉,觉得,触摸"
keep,"n.保持,保养,生计,监狱,[史]要塞vt.保持,保存,遵守,经营,看守,拘留,维持,记(日记,帐等)vi.保持,继续不断"
keep pace with,
keeper,"n.监护人,管理人,看守人,保管人"
press,"n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压"
express,"adj.急速的,特殊的,明确的n.快车,快递,专使vt.表达,表示adv.乘快车,以快递方式"
impression,"n.印象,感想,盖印,压痕"
make an impression,
impressive,"adj.给人深刻印象的,感人的"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
old,"adj.年老的,老的,...岁的,陈旧的,古老的"
