a,"第一个字母 A; 一个; 第一的
art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步"
an,"suf. 表示; “碳水化合物的酐类”：dextran; “不饱和的碳化物”：tolan; 用于专有人、地名等后构成通常可兼作名词用的形容词表示“…时期的(人)”, “…地方的(人)”, “在…居住的(人)”, “在…出生的(人)”：American, Asian, Elizabethan, Victorian; 用于表示体制、学科等的词后及宗教或其他流派创始人的人名后构成可兼作名词的形容词或单词性的形容词或名词表示“精通…的(人)”, “带有…特征的(人)”, “属于…的(人)”, “信奉…的(人)”, “追随…的(人)”"
ability,"suf. [用于构成名词, 意义相当于-able]表示“能力”, “可能性”, “倾向性”, “适宜性”"
able,"suf. [附在动词或名词后构成形容词] 表示：“能…的,会…的”：durable; “可以…的”：drinkable; “具有…特性的”：fashionable; “有助于…的”,“倾向于…的”：peaceable; “易于…的”：breakable"
about,"prep. 关于；大约
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处
n. 大致；粗枝大叶；不拘小节的人
n. (About)人名；(法)阿布"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
absent,"adj. 没有；无；离开；缺勤的
v. 使缺席
[网络] 不在离席"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
accident,"n. 意外事件, 机遇, 事故, 次要方面
[化] 意外事故; 事故"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activity,"n. 活动, 行动, 活跃, 活力
[计] 活动"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
[计] 加法"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
advantage,"n. 优势；利益；有利条件
vi. 获利
vt. 有利于；使处于优势"
advertisement,"n. 广告, 启事, 广告宣传
[法] 广告, 公告, 告示"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
[经] 通知书, 通知, 建议"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
afford,"vt. 买得起, 足以, 给予"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
Africa,n. 非洲
African,"n. 非洲人
a. 非洲的, 非洲人的"
after,"adv. 以后；后来
prep. 仅次于；追赶；跟随；虽然
adj. 后来的；以后的
conj. 在…以后
n. 〈英俚〉正餐的最后一道食品(如点心,水果等)"
afternoon,"n. 午后, 下午"
again,"adv. 再一次；又一次；再说；复原
[网络] 再次；重新；此外"
against,"prep. 反对, 对着, 倚靠"
age,"n. 年龄；年龄段；时期；老年
v. 变老；使显老；使变老；使苍老
[网络] 时代；年纪；寿命"
ago,"adv. 以前, 以往
a. 以前的；过去的
n. (Ago)人名；(英、西、意、塞、瑞典)阿戈"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
agreement,"n. 同意, 合约, 协议
[经] 契约, 协议, 协定"
air,"n. 空气；空中；天空；神态
v. 晾；播出；播送；晾干
[网络] 大气；执行环境(Adobe Integrated Runtime)；青空"
airline,"n. 航线, 航线的设备, 航空公司"
airplane,"n. 飞机
[机] 飞机"
airport,"n. 飞机场
[机] 航空站, 机场"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
all,"pron. 一切；全部；大家；全都
adj. 一切；全；整个；全体
adv. 都；全部；全身；那么
n. 一切；全部；全体
[网络] 所有；所有的；全部的"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
[计] 允许命令"
almost,"adv. 几乎, 差不多"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
along,"adv. 平行地, 向前
prep. 沿着"
aloud,"adv. 出声地, 大声地"
already,adv. 已经，早已；先前
also,"adv. 也, 并且, 同样地"
although,"conj. 虽然, 尽管"
always,"adv. 总是, 始终"
America,"n. 美洲, 美国"
the USA,[网络] 美国；美利坚合众国；现在我们有美国的大哥
American,"n. 美国人；美洲人；美国英语；美洲印第安人
adj. 美洲的；美国的
[网络] 美式；美国人的；美式起司"
among,prep. 在...之中
ancient,"a. 古代的, 古老的, 年老的, 旧的"
and,"conj. 与；和；而；又
n. 附加条件；附加细节
[网络] 并且；而且；及"
angry,"a. 生气的, 愤怒的"
animal,"n. 动物
[医] 动物"
another,"adj. 又一，另一；另外的；不同的
pron. 另一个；又一个
prep. 另一个；另一个人"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
[计] 用户问题及答案新闻组"
ant,"Ant
[ænt]
n.
＝ Antlia
ant
[ænt]
n.
【昆虫】蚂蚁[蚁科 (Formicidae) 昆虫的俗名]
[用复数][美国英语]焦虑，不安；渴望
短语:
have ants in (one's) pants
[俚语](因焦急、气愤等而)坐立不安，焦躁不安；热锅上的蚂蚁
Ant.
abbr.
Antarctica
Antigua
Antrim
Antwerp
ant.
abbr.
antenna
antiquarian
antiquary
antiquity
antonym"
any,"a. 任何的
pron. 任何"
anybody,"pron. 任何人
n. 重要人物"
anyone,pron. 任何人
anything,pron. 任何事
anyway,"adv. 无论如何, 至少"
anywhere,[网络] 任何地点；任何地方；无论客户在世界任何地点
appear,"v. 出现；显现；呈现；出版
linkv. 似乎；显得；看来
[网络] 显露；露面；看起来"
apple,"n. 苹果, 家伙
[医] 苹果"
April,n. 四月
area,"n. 区域，地区；面积；范围
n. (Area)人名；(西)阿雷亚"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
[计] ARM 处理器；异步应答方式; 自动货品销路管理"
army,"n. 军队, 陆军"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
arrive,"vi. 到达, 抵达"
art,[计] Xara Studio绘画文件；Canon Crayola美术文件；Clip Art文件格式；另一种光线跟踪格式；AOL使用的用Johnson-Grace压缩算法压缩的标记文件
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
[计] 信件"
artist,"n. 艺术家, 画家"
as,"prep. 作为；像；当作；如同
conj. 随着；正如；因为；由于
adv. 如同；（指事情以同样的方式发生）和…一样
n. “A”的复数；阿斯
[网络] 砷；动脉粥样硬化(atherosclerosis)；强直性脊柱炎(ankylosing spondylitis)"
Asia,n. 亚洲
Asian,"n. 亚洲人
a. 亚洲的, 亚洲人的"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
at,"prep. 朝；向；在（某处）；在（表示学习或工作地点）
abbr. (=astatine)【化】(=Air Transport)
[网络] 自动变速箱(Automatic Transmission)；奥地利(Austria)；砹"
Atlantic,"n. 大西洋
a. 大西洋的"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attention,"n. 注意, 注意力
[计] 引起注意信号"
August,"adj. 威严的；令人敬畏的
n. 八月（简写为Aug）
n. (August)人名；(法、葡、西、俄、罗、英、德、瑞典、挪)奥古斯特"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
Australia,"n. 澳洲, 澳大利亚"
Australian,"n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的
n. (Autumn)人名；(英)奥特姆"
available,"a. 可利用的, 可获得的, 有效的
[医] 有效的, 可得的"
avoid,"vt. 避免, 防止, 撤消
[法] 避免, 回避, 躲开"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
awoke,awake的过去式和过去分词
awoken,awake的过去分词
away,[网络] 方法；方式；一种方法
awful,"a. 可怕的, 庄严的, 虔敬的"
baby,"n. 婴儿，婴孩；孩子气的人
vt. 纵容，娇纵；把……当婴儿般对待
adj. 婴儿的；幼小的
n. (Baby)人名；(法、葡)巴比；(英)巴比，芭比(女名)；(俄)巴贝"
back,"n. 背；后面；后卫；腰背
v. 支持；倒退；帮助；下赌注于（赛马、参赛队伍等）
adv. 向后；以前；回报；回原处
adj. 背后的；后面的；后部的；过去的
[网络] 返回；背部；后退"
background,"n. 背景, 背景资料
[计] 背景, 后台"
bad,"a. 坏的
n. 坏
adv. 坏地"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
worst,"n. 最坏, 最坏的时候
a. 最坏的, 最恶劣的, 最不利的
adv. 最坏, 最糟"
bag,Bachelor of Agriculture 农学士
ball,"n. 球；球状物；踢出（或击出、投出）的一球；（投手投出的）坏球
v. 做成球状；使成团块；和（女性）交媾
[网络] 球类笔；精度球规；火球"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
bamboo,"n. 竹子
[医] 竹类"
banana,n. 香蕉
bank,"n. 银行；岸；库；河畔
v. 存款；把（钱）存入银行；（转弯时）倾斜飞行；堆积（某物）
[网络] 银行存款"
baseball,[网络] 棒球；香港求棒球；基球
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
basket,"n. 篮, 篮子
vt. 装入篮"
basketball,n. 篮球运动
bathroom,"na. 洗澡间；盥洗室；〈书〉厕所
[网络] 浴室；卫生间；浴室系列"
be,"linkv. 有；等同；存在；提供名称或信息时用
v. 到场；位于；在（某处）；（在某时或某地）发生
auxv. 与过去分词连用构成被动语态；与现在分词连用构成进行时
abbr. (=Bank of England)(英国)英格兰银行
[网络] 是；铍(Beryllium)；比利时(Belgium)"
is,"v. 是
abbr. (=island；isle)岛；群岛
[网络] 冰岛；在；印度标准(Indian Standard)"
am,"abbr. 调幅；振幅调制；议员（威尔士议会成员）
[网络] 调幅(amplitude modulation)；上午(a.m.)；是"
are,"v. 是（be的第二人称单复数现在式）
n. 公亩
n. (Are)人名；(意、西、芬)阿雷"
was,is或am的过去式
were,"short. we are
[网络] 是；过去式；的过去式"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
been,be的过去分词
beach,n. 海滩
bean,"n. 豆子
[化] 油嘴; 豆"
