abroad,"adv. 在国外；到海外
adj. 往国外的
n. 海外；异国"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
cemetery,"n. 墓地, 公墓
[法] 公墓, 墓地"
commendation,"n. 赞赏, 嘉奖, 推荐"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
[计] 冲突"
cooperate,v. 合作；配合
curious,"a. 好奇的, 求知的, 古怪的"
delicious,[网络] 美味书签；社会书签；收藏到
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
draw,[计] Acorn的基于对象的矢量图像文件
empire,"n. 帝国, 帝权"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
[计] 事件"
failure,[化] 事故; 失效
file,[网络] 文件；提取码；文件操作
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
generate,"vt. 产生, 发生, 导致
[电] 产生"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
[计] 停止"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
interval,"n. 间隔, 距离, 间歇, 间隙
[计] 时间间隔"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者
n. (Liberal)人名；(葡)利贝拉尔"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
mental,"suf. 表示""行为的"""
momentary,"a. 瞬间的, 刹那间的"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
omit,"vt. 省略, 删除, 疏忽, 遗漏
[化] 省略"
peacock,"n. 孔雀, 好炫耀的人
vi. 炫耀, 神气活现地行走"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
pray,"v. 祈祷, 恳求, 请"
pronounce,"v. 发音, 宣告, 断言"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
[计] 竞争; 追赶; 欧州高级通信研究开发计划"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
resort,vt. 使再分类
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
[计] 阴影"
situation,n. 情况；形势；处境；位置
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
[计] 展开"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
suitcase,"n. 化装箱
[网络] 手提箱；拉杆箱"
talent,"n. 天才, 才能, 有才干的人, 天资"
throne,"n. 王座, 君主"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
[计] 传送"
usage,[网络] 美国年龄
vowel,"n. 元音
a. 元音的"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
agency,"n. 代理机构, 经销商, 中介
[化] 办事处"
attitude,"n. 态度, 看法, 姿势
[医] 体态, 姿势, 态度"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
[计] 空白"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
ceremony,"n. 典礼, 仪式, 礼节
[法] 典礼, 仪式"
commerce,"n. 商业, 商务, 贸易
[经] 商业, 贸易, 商务"
confuse,"vt. 使混乱, 使狼狈, 使困惑
[法] 混淆"
copper,"n. 铜, 警察
[化] 铜Cu"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
evidence,[网络] 证据；大量运用事例证据
faculty,"n. 才能, 能力, 全体教员, (大学的)系
[医] 能力, [大学]院系"
financial,"a. 财政的, 金融的
[经] 财政的, 金融的, 财务的"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
generous,"具,有"
