cent,"n.(货币单位)分,分币"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
century,"n.世纪,百年,百个,板球中的一百分,百元(钞票)"
percent,"n.百分比,百分数"
percentage,"n.百分数,百分率,百分比"
centimeter,n.厘米
centennial,n.百年纪念adj.一百年的
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋"
circlet,n.小圈
circus,"n.马戏团,杂技团,马戏场,杂技场"
bicycle,"n.脚踏车,自行车"
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波vi.循环,轮转,骑自行车vt.使循环,使轮转"
circuit,"n.电路,一圈,周游,巡回"
circular,"adj.圆形的,循环的n.函件 通知"
recycle,"v.使再循环,反复应用n.再循环,再生,重复利用"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
encyclopedia,n.百科全书
line,"n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队"
airline,n.定期航线
deadline,n.最终期限
guideline,n.方针
headline,n.大字标题
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
baseline,n.[计]基线
borderline,n.边界线
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
linear,"adj.线的,直线的,线性的"
dateline,"n.国际日期变更线,日界线,日期栏"
lineage,"n.血统,世系"
hardline,
long,"adj.长的,长期的,做多头的,高的vi.渴望,热望adv.长期地,始终n.长时间,(市场上)做多头的人,[语音]长音节"
lifelong,"adj.终身的,毕生的"
belong,"vi.属于,住"
longing,n.渴望
longitude,"n.经度,经线"
longsighted,
prolong,"vt.延长,拖延"
lengthen,"v.延长,(使)变长"
longevity,"n.长命,寿命,供职期限,资历"
longheaded,"adj.有远见的,有头脑的,聪明的"
lengthy,"adj.(演说、文章等)冗长的,过分的"
marked,"adj.有记号的,显著的"
bookmark,n.书签
landmark,"n.(航海)陆标,地界标,里程碑,划时代的事,"
postmark,n.邮戳vt.盖邮戳于
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
tidemark,"n.涨潮点,潮标"
trademark,n.商标
unmarked,"adj.未被注意的,无记号的"
marksman,"n.射手,神射手"
hallmark,n.特点
sign,"n.标记,符号,记号,征兆,迹象,征候v.签名(于),署名(于)～,签署"
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要v.设计,计划,谋划,构思"
resign,"n.辞去(职务)v.辞去,辞职"
signal,"n.信号adj.信号的v.发信号,用信号通知"
significance,"n.意义,重要性"
significant,"adj.有意义的,重大的,重要的"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
assignment,"n.分配,委派,任务,(课外)作业"
consign,"vt.托运,委托"
designate,"vt.指明,指出,任命,指派v.指定,指派"
resignation,"n.辞职,辞职书,放弃,顺从"
signature,"n.签名,署名,信号"
consignment,"n.(货物的)交托,交货,发货,运送,托付物,寄存物"
signalize,"vt.使著名,使显著,使显眼,向...发信号"
miniskirt,"n.迷你短裙,超短裙"
minute,"n.分,分钟,片刻,一瞬间,备忘录,笔记vt.记录,摘录,测定时间adj.微小的,详细的,仔细而准确的"
minor,"n.未成年人,副修科目adj.较小的,次要的,二流的,未成年的vi.辅修n.[乐]小调,小音阶"
minus,"adj.负的,减的 prep.减去n.负数"
minimum,"adj.最小的,最低的n.最小值,最小化"
ministry,n.(政府的)部门
minim,"n.半音符,半休止符,量滴,极小之物"
mince,v.切碎
miniature,"n.缩小的模型,缩图,缩影adj.微型的,缩小的"
minimize,vt.将...减到最少v.最小化
diminish,"v.(使)减少,(使)变小"
minister,"n.部长,大臣"
minify,v.缩小
creative,adj.创造性的
create,"vt.创造,创作,引起,造成"
creature,"n.人,动物,傀儡,创造物"
recreation,"n.消遣,娱乐"
decrease,"n.减少,减少之量v.减少"
increase,"n.增加,增大,增长vt.增加,加大vi.增加,繁殖"
secrete,"vt.隐秘,隐藏,隐匿,[生理]分泌"
crescent,"n.新月,月牙adj.新月形的,逐渐增加的"
procreate,"vt.生(儿,女),生殖,产生vi.生殖,生育"
recreate,"v.(使)得到休养,(使)得到娱乐"
sum,"n.总数,和,金额,算术题"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
summary,"n.摘要,概要"
summarize,"v.概述,总结,摘要而言"
consummate,"vt.完成,使达到极点adj.圆满的,至上的,完美的"
public,"n.公众,(特定的)人群,公共场所adj.公众的,公共的,公立的,公用的"
population,n.人口
popular,"adj.通俗的,流行的,受欢迎的"
publication,"n.出版物,出版,发行,公布,发表"
publish,"v.出版,刊印vt.公布,发表"
popularity,"n.普及,流行,声望"
popularize,v.普及
publicize,v.宣扬
publicity,n.公开
populous,"adj.人口多的,人口稠密的"
model,"n.样式,型,模范,典型,模型,原型,模特儿vt.模仿v.模拟"
modest,"adj.谦虚的,谦让的,适度的"
modify,"vt.更改,修改v.修改"
mode,"n.方式,模式,样式,时尚"
moderate,"adj.中等的,适度的,适中的v.缓和"
remodel,"vt.重新塑造,改造,改变"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
commodity,n.日用品
outmoded,adj.过时的
modulate,"vt.调整,调节,(信号)调制"
type,"n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型"
typewriter,n.打字机
typical,"adj.典型的,象征性的"
prototype,n.原型
typify,v.代表
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
arrange,"v.安排,排列,协商"
arrangement,"n.排列,安排"
disarrange,v.打乱
rearrange,"vt.再排列,重新整理"
misarrange,"vt.排错,作不适当的安排"
derange,"vt.使错乱,扰乱,使精神错乱,使发狂"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
settlement,"n.沉降,解决,结算,殖民,殖民地"
settle,"n.有背的长凳vt.安放,使定居,安排,解决,决定,整理,支付,使平静vi.安家,定居,停留,下陷,沉淀,决定,澄清"
