deduct,"vt. 扣除, 减去
[经] 扣除, 减去, 折扣"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
[计] 减"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
[计] 缩小"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
decrease,"n. 减少, 减少量
v. 减少"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
[计] 主题, 主体"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
[计] 对象"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
inject,"vt. 注射, 注入, 使入轨
[医] 注射"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
garbage,"n. 垃圾桶；废物；垃圾箱；废话
[网络] 垃圾袋；残羹剩菜使我掩鼻；平口袋"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
[法] 不同的, 种种的, 各式各样的"
ambiguous,"a. 不明确的, 模棱两可的
[法] 意思含糊的, 模棱两可的, 暧昧的"
conscientious,"a. 有责任心的, 负责的, 本着良心的
[法] 凭良心做的, 有道德感的"
indigenous,"a. 本土的, 国产的, 固有的
[医] 原产的, 本土的"
competent,"a. 能干的, 胜任的, 有效的, 足够的
[经] 有权的, 授权的, 胜任的"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
[计] 补码; 反相器; 补数"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
[经] 占有, 占用, 职业"
vocation,"n. 职业, 天命, 天职, 才能, 行业
[法] 行业, 职业, 职业上的才能"
personnel,"n. 人员, 人事部门, 人事科(处)
[经] 人事, 全体人员, 职工"
dentist,"n. 牙科医生
[医] 牙医师"
apprentice,"n. 学徒, 生手
vt. 使做学徒"
author,"n. 作家, 作家的著作, 创始人
[法] 作者, 著作人, 本人"
knight,"n. 骑士, 爵士
vt. 授以爵位"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
[计] 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
[计] 标记"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
[经] 建议, 推荐"
commend,"vt. 嘉奖, 委托给, 推荐"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
momentum,"n. 动力, 动量
[化] 动量"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
investigate,"v. 调查, 审查"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
ascertain,"vt. 确定, 查明
[法] 查明, 弄清, 确定"
censor,"n. 检查员
vt. 检查, 审查, 删改"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
[经] 复查, 评核, 仔细检查"
include,"vt. 包括, 把...算入, 包住
[计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
embody,"vt. 具体表达, 使具体化
[经] 合并, 具体化, 具体表现"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价
n. (Rate)人名；(法、塞)拉特"
ratio,"n. 比, 比率
[医] 比, 比率, 比例"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
[计] 系统; 体制; 体系"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
[计] 分级结构; 分层结构; 新闻组, 新闻组分层"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
[医] 制度, 生活制度"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
govern,"v. 统治, 支配, 管理"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
[计] 规则, 水线"
rein,"n. 控制；缰绳；（幼儿佩带以防走失的）保护带；主宰
v. 控制；箝制；抑制(情欲等)；给(马)套上缰绳
[网络] 统治；驾驭；支配"
dominate,"v. 支配, 占优势"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
[经] 控制, 管理"
coup,"n. 砰然的一击, 妙计, 出乎意料的行动, 政变
[医] 发作, 中, 击"
throne,"n. 王座, 君主"
climate,"n. 气候, 社会趋势, 气候区
[医] 气候"
atmosphere,"n. 大气, 空气, 气氛
[医] 大气; 大气压"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
[计] 趋势预测"
ecosystem,abbr. ecological system 生态学系统; economic system 经济学系统
tropic," [医]〔后缀〕向…的, 亲…的"
humid,"a. 潮湿的, 湿润的, 多湿气的"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
[法] 所得, 收入, 收益"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
[计] 效果"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
drama,"n. 戏剧, 戏剧艺术"
debut,"n. 初次登台, 开张
v. 初次登台"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
arena,"n. 舞台；竞技场
n. (Arena)人名；(英)阿里纳；(意、西、葡、德)阿雷纳"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
[计] 设置; DOS内部命令:改变或显示分配给环境变量的值"
impromptu,"n. 即席演出, 即兴曲
a. 即席的
adv. 即席"
circus,"n. 马戏团, 马戏, 竞技场"
clown,"n. 小丑, 乡下人"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
[计] 焦点"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
community,"n. 社区, 公众, 共有, 共同体
[经] 公众, 共有, 社会"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
[计] 本地的; 局部"
locate,"vt. 找出, 设于, 位于
vi. 定居"
vicinity,"n. 附近, 邻近, 附近地区, 近处
[法] 附近, 邻近, 附近地区"
venue,"n. 犯罪地点, 审判地, 发生地点"
clearing,"n. 清扫, 空地, 票据清算
[经] 票据交换, 结算, 结帐"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
[经] 房地产, 遗产, 财产"
