account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
[计] 帐户, 帐号"
accountants, [法]会计
accountable,"a. 负有责任的, 可说明的, 可解释的
[经] 负有责任的"
advertising,"n. 广告业, 广告
a. 广告的
[计] 发广告"
advertisements,n. [经] 广告（advertisement的复数）；宣传
ages,abbr. 晚期糖基化终末产物（Advanced Glycation End Products）
aging,"n. 老化, 变陈
[计] 老化, 陈化"
alarms,"n. 警钟( alarm的名词复数 )
v. 警告( alarm的第三人称单数 ); 使惊慌; 使惊恐; 给（门等）安装警报器"
alarming system,无
air,"n. 空气；空中；天空；神态
v. 晾；播出；播送；晾干
[网络] 大气；执行环境(Adobe Integrated Runtime)；青空"
air-condition,"v. 设以空气调节装置, 装冷气机于…"
airline,"n. 航线, 航线的设备, 航空公司"
airplane,"n. 飞机
[机] 飞机"
air pump,"气泵, 抽气机
[化] 气泵; 抽气机; 空压机"
air pollution,"[计] 空气污染
[化] 大气污染; 空气污染"
air quality, 大气品位
airports,"n. 航空站, 机场, 航空港( airport的复数形式 )"
animals,n. [动] 动物，动物世界；牲畜（animal的复数形式）
animals behavior,无
animals life,无
arts,abbr. articles；商品，货物；条项，项目；法律条文
art gallery,[建] 美术馆；画廊
artists,"n. 艺术家, 设计师（artist的复数）"
back,"n. 背；后面；后卫；腰背
v. 支持；倒退；帮助；下赌注于（赛马、参赛队伍等）
adv. 向后；以前；回报；回原处
adj. 背后的；后面的；后部的；过去的
[网络] 返回；背部；后退"
back problem,无
back door,"后门, 秘密途径
[经] ""后门"""
back wheel,"un. 后轮
[网络] 背轮"
background,"n. 背景, 背景资料
[计] 背景, 后台"
background music,[电] 陪衬音乐
balcony,"n. 阳台, 戏院楼厅"
bath,abbr. best available true heading 可行的最佳准确航向
bathrooms,n. 浴室( bathroom的复数形式 ); 盥洗室; （带抽水马桶的）厕所; 卫生间
beach,n. 海滩
birds,n. 鸟类；禽（bird的复数）
bird park,无
bird-watching,"na. (作为一种爱好的)野鸟习性观察
[网络] 观鸟；赏鸟；赏鸟记"
bicycle,n. 自行车
bikes,"n. 自行车( bike的名词复数 )
v. 自行车( bike的第三人称单数 )"
bridges,n. 桥梁；纽带（bridge的复数）
bones,"n. 骨骼, 尸体"
books,"n. 书；著作；本；账簿
v. 预定；托运(行李等)；给…挂号；(警察)记下(某人的)违法行为
adj. 书籍的；书本上的；账面上的
[网络] 图书；专书；读书"
bookshop,"un. 书店
[网络] 街转角的书店；逛书店；书局"
bookkeeping,"n. 簿记
[经] 簿记, 簿记学"
booklet,n. 小册子
bus,"n. 公共汽车；巴士；（计算机系统的）总线
v. 用公共汽车运送
[网络] 汇流排；公交车；公车"
bus stop,"na. 公共汽车站
[网络] 巴士站；公交车站；巴士路线查询"
bus service, 公共汽车业务
bus tickets,(bus-ticket 的复数) 公共汽车票
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
[经] 企业, 商业, 营业"
business management,"un. 企业管理
[网络] 商-管理；经营管理；工商管理"
business cards,商业名片
business plan,企业计划，经营计划，业务计划
business area,商务办公区
business visits,无
cafe,"n. 咖啡馆, 酒店"
cameras,"照相机, 暗箱, 摄像机, 摄影机"
cars,abbr. 中美洲研究站（Central America Research Station）；计算机化自动额定值系统（computerized automatic rating system）；汽车收据结账证书（Certificates for Automobile Receivables）
car-park,n. 停车场
car tyres,[网络] 汽车轮胎；求购汽车轮胎；小汽车轮胎图片
cash,abbr. cashew 腰果树; cashier （商店等的）出纳员; （银行或公司的）司库
cashier,"n. 出纳员
[经] 司库, 出纳员, 收支员"
cash machine, 自动取款机
castles,"n. 城堡, 堡垒( castle的名词复数 )"
central,"a. 中央的, 重要的
[医] 中央的, 中心的, 中枢的"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
central station,"[计] 中央台, 总站
[化] 中心电站"
central heating,"集中供暖
中央供暖法"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
changing room,n. 更衣室
chemical,"n. 化学药品
a. 化学的, 化学上用的"
chemical contaminants,无
chemist,"n. 化学家, 药剂师
[化] 化学家; 化学师; 化学工作者; 药剂师; 药房"
chemistry lab,化学实验室
children,[网络] 字组拆分到两个音节中去
children education,无
closed,"a. 关闭的, 限于少数人的
[计] 关闭指令"
closed down,"v. 关闭；关门；倒闭；歇业
[网络] 使停业；停机；停止"
cleaning,"n. 清洁, 扫除, 家畜的胞衣, 扫除出来的垃圾, 大败, 输得精光, 除伐, 巨额利润
[计] 清洗, 清除"
cleaner,"n. 清洁工人, 清洁剂, 干洗商
[化] 滤清器; 除垢器; 洗净剂; 清洁剂"
cleanest,清洁的（clean的最高级）
clean products,无
clothes,n. 衣服
clothing,n. 衣服
clothing sections,无
climate,"n. 气候, 社会趋势, 气候区
[医] 气候"
clubs,n. （扑克牌）梅花；俱乐部；社团（club的复数）
clubhouse,"un. 俱乐部会所
[网络] 俱乐部浩室；酒吧慢摇；九龙"
club office,无
cinemas,n. 电影院（cinema的复数）
cities,n. 城市（city的复数）
city council,"na. 市参议会
[网络] 市议会；市政府；市政厅"
city centre,[网络] 市中心；城市中心；城中心
citizen,"n. 市民, 公民
[法] 公民, 国民, 市民"
coffee,"n. 咖啡, 咖啡色
[医] 咖啡, 咖啡豆"
coffee table,a. 咖啡茶几上作摆设的书（多为装璜精美而内容贫乏的大开本画册）
coffee machine,咖啡自动售货机
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
colours,"n. 国旗, 旗帜, 船旗, 军旗, 衣帽, 徽章, 绶带"
coloured,"a. 有色的, 有...色的, 经过渲染的, 有色彩的, 伪装的, 有色人种的, 混血种的
n. 有色人种的人, 混血人
[计] 着色的"
colour photos,无
competitions,"n. 比赛, 竞争（competition的复数形式）"
competitive,"a. 竞争的
[经] 竞争的"
computers,"n. 计算机, 电脑（computer的复数）"
computer centre,计算机中心
computer programmer,"[计] 计算机程序设计员
[经] 电脑编程序师"
computer office,无
computer science,"n. 计算机科学
[网络] 美国西北大学博士；电脑科学"
communication,"n. 通信；交际；交流；信息
[网络] 通讯；沟通；对话"
communication system,"[计] 通信系统
[经] 通讯系统"
common,"a. 通常的, 共同的, 通俗的, 公共的
[计] 公用块"
common room,公共休息室
conference,"n. 会议
[经] 会议, 讨论会, 协商会"
conference centre,[网络] 会议中心
conference hall, 会场
conference pack,无
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
culture context,无
culture awareness,[网络] 文化意识；文化意识目标；文化觉识
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
dance class,无
dance show,无
deserts,"n. 应得到的事物; 沙漠( desert的名词复数 ); 赏罚; 荒漠; [常用复数]应得的赏（或罚）
v. 舍弃( desert的第三人称单数 ); 废弃; （在需要时刻）背离; 擅离（职守、工作岗位、现役等）"
desert locations,无
disease,"n. 疾病, 弊病
[医] [疾]病"
discussion,n. 讨论
discussion group,享有共同话题兴趣的用户组织的讨论群体.
distance,"n. 距离, 远方, 遥远
[计] 位距"
distance learning,"na. 远程教育(如电视教学等)
[网络] 远距教学；远程学习；远距离上课学习"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
[计] 驱动器"
driver,"n. 驾驶员, 驱动器, 驱动程序
[化] 驱动器"
driving,"n. 赶, 操纵, 驾驶
a. 推进的, 强劲的, 精力旺盛的"
driving license, [法]驾驶执照
drinks,"n. 饮料, 饮品；喝酒（drink复数）"
drinking,"n. 喝, 喝酒"
drinking machines,无
double,"n. 两倍；双精度型
a. 双重的；两倍的
vi. 加倍, 加倍努力；快步走
vt. 使加倍
adv. 双重地；两倍地；弓身地
n. (Double)人名；(法)杜布勒；(英)道布尔"
double-grill,无
double room,双人房
education,"n. 教育, 训练, 教育学
[医] 教育, 训练"
education system,教育体系；教育系统
education department,教育部；教育系
education officer,[网络] 教育主任；教育官员；教育事务主任
education plan,无
electronic,"adj. 电子的；电子器件的；电子设备的
[网络] 电子玩具；免费的电子；电子工程师"
electric cars,[网络] 电动汽车；电动车；电力车
electronic directory,电子电话簿
electronic card,电子卡
electricity,"n. 电, 电流, 电学, 热情, 电力供应
[化] 电学; 电"
electricity supply,电力供应
emails,"n. 电子邮件( e-mail的名词复数 )
v. 电子邮件( e-mail的第三人称单数 )"
email address,"电子邮件地址,(用以传送电子邮件的指定地址)"
engineers,n. 工程师；机械师（engineer的复数）
engineering,"n. 工程学, 工程, 操纵
[化] 机器; 机器学"
environmental,"a. 周围的, 环境的
[经] 环境的, 环保的"
environment agency,[网络] 英国环境署；环境局；英国环境局
environment damage,无
energy,"n. 精力, 精神, 活力, 能量
[化] 能; 能量"
energy saving,[化] 节能
eyes,n. 眼睛（eye的复数）
eyedrops,(eye-drop 的复数) 滴眼剂
eyesight,"un. 视力；目力；观察孔；信号孔
[网络] 目光；目视孔；见解"
eye contacts,"n. 眼神接触；目光交流
[网络] 眼神交流；视觉接触；眼睛望向讲者
(eye-contact 的复数)"
families,n. 家族；家庭（family的复数）
family photo,[网络] 全家福；家庭照片；全家福照片
family ticket,无
family relationship, 家庭关系
family members,[网络] 家庭成员；家庭成员数目；家人
farmers,n. 农民（farmer的复数）
farming,"n. 农业, 耕作"
farming products,无
feedback,"n. 反馈；反馈意见；回授；【电子】反馈
[网络] 快速反馈"
feeding,"n. 饲养, 进料, 加料
a. 供给饲料的, 摄取食物的"
feeding time,"un. 供片时间；供料时间
[网络] 喂食时间；喂食时刻；喂养时间"
feed the shark,无
feed animals,无
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
flooding,"n. 充溢, 泛滥, 血崩
[计] 满屏幕; 扩散式路由选择"
floodwater,"洪水, 升潮；注入水"
flowers,[医] 花; 升华制成的药物; 月经
films,n. 电影；薄膜；胶片（film的复数）
financial,"a. 财政的, 金融的
[经] 财政的, 金融的, 财务的"
financial results,[网络] 财务业绩；财务结算；财报
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
finance office,无
finance market,金融市场
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
fireplaces,n. 壁炉( fireplace的复数形式 )
fire drill,n. 火灾演习；消防演习；火灾避难训练
firewood,"un. 薪炭材；柴
[网络] 火；燃材"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
fish farm,养鱼场
fish industry,无
fish cake, 鱼饼（鱼肉拌土豆泥煎成）
fishing,"n. 钓鱼, 鱼业
a. 钓鱼的"
fishing lesson,无
fishing boats,(fishing-boat 的复数) n. 渔船
