more than,"na. …以上；比…更
[网络] 多于；超过；不止"
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
kilometre,[网络] 离家少说也有二百公里
something,"pron. 某事；某物
n. 重要的人；值得重视的事
adv. 非常；有点；大约
adj. 大约；有点象"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万
n. (Million)人名；(法、罗、埃塞)米利翁"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
[计] 实用程序, 映射, 制造自动化协议"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
[计] 右, 权利"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式"
dancing,"n. 舞蹈
[建] 跳动的"
Chinatown,[网络] 中国城；唐人街；牛车水
sometimes,"adv. 有时, 时常, 往往"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
then,"adv. 然后；那么；于是；当时；此外
n. 那时
conj. 然后，当时
n. (Then)人名；(德)特恩"
ah,"abbr. 安时；〈外(=anno Hegirae)穆罕默德纪元
[网络] 夹圈；船舱后部；高度"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
collect,abbr. collection 收藏; 征收; collective 集体的; collectively 全体的
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
hobby,"n. 嗜好, 癖好, 爱好"
doll,"n. 洋娃娃, 无头脑的美丽女人"
bicycle,n. 自行车
Thanksgiving,n. 感谢
Thanksgiving Day,感恩节
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
[计] 标志; 属性标记命令"
Flag Day,"n. （英国的）旗日, 公益事业募捐日"
fly,"vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬
n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
n. (Fly)人名；(法)弗利；(英)弗莱"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
meal,"n. 一餐, 一顿饭；膳食
vi. 进餐"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
[计] 声音"
football,[网络] 足球；阿方索八世赐与马德里足球
moon cake,月饼(中国食品)
the Mid-Autumn Festival,[网络] 中秋节
the Dragon Boat Festival, 端午节（端午节为每年农历五月初五，本来是夏季的一个驱除瘟疫的节日，后来楚国诗人屈原于端午节投江自尽，就变成纪念屈原的节日。端午节的习俗有吃粽子、赛龙舟、挂菖蒲、蒿草、艾叶、薰苍术、白芷，喝雄黄酒等）; 端节
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
[计] 竞争; 追赶; 欧州高级通信研究开发计划"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
the Lantern Festival, 元宵节
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
pen friend,"n. 通信朋友, 笔友"
Pleased to meet you!,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
French,"adj. 法国的；法国人的；法语的
n. 法语
[网络] 法文；法式；弗伦奇"
age,"n. 年龄；年龄段；时期；老年
v. 变老；使显老；使变老；使苍老
[网络] 时代；年纪；寿命"
story,"n. 小说；谎言；（虚构的）故事；（真实情况的）叙述
v. 把…作为故事讲述；用故事画装饰；说假话；〈古〉讲…的故事[历史]
[网络] 故事源起；故事命令；O娘故事"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
[法] 世界, 地球, 世人"
often,"adv. 时常, 常常"
difficult,[网络] 困难的
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧
n. (Fork)人名；(英、德)福克"
chopsticks,[网络] 筷子
Japanese,"adj. 日本（人）的；日语的
n. 日本人；日语"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
DVD,abbr. 数字化视频光盘（Digital Video Disk）
together,"adv. 一起；同时；相互；连续地；总共
adj. 新潮的；情绪稳定的，做事有效率的"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
bamboo,"n. 竹子
[医] 竹类"
its,"pron. 其
short. it is；it has
adv. （指事物、动物或婴儿）它的
[网络] 智能交通系统(Intelligent Transportation System)；智能运输系统"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体
n. (Body)人名；(英、法、罗)博迪"
come out of,由...产生
flute,"n. 笛, 横笛, 凹槽
vi. 吹笛子
vt. 用长笛奏, 刻凹槽于"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
[计] 取得指令, 获取文件"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
long ago,"na. 很久以前；老早
[网络] 古远；早已"
I'd love to,无
not really,[网络] 也不是；不完全是；不怎么好
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
clean,"adj. 洁净的；干净的；爱干净的；爱整洁的
v. 除去…的灰尘；使…干净；打扫；变干净
n. 打扫；清扫
adv. 完全地
[网络] 清洁；清洁的；清除"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
[计] 摄影"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
[计] 显示"
never,"adv. 从不, 决不, 不曾
[法] 永不, 决不, 从来没有"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
all around,adj. 万能的；多方面的；综合性的
member state,"[法] 会员国, 成员国"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
should,"aux. 应该, 将要"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
[计] 线路"
stand in line,"站队, 排齐"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
[计] 关闭"
librarian,"n. 图书馆员, 图书管理员
[计] 程序库管理程序; 程序库生成程序"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
[计] 规则, 水线"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
No problem., 不麻烦;  没什么;  没事儿; 非常容易
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
[计] 交叉, 十字标"
