accomplish,"vt.完成,达到,实现"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
discourage,"vt.使气馁,阻碍"
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
assure,"vt.断然地说,确告,保证,担保"
timid,"adj.胆小的,羞怯的"
confidence,n.信心
confidential,"adj.秘密的,机密的"
resist,"vt.抵抗,反抗,抗,忍得住"
resistant,"adj.抵抗的,有抵抗力的"
restrain,"vt.抑制,制止"
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
setback,"n.顿挫,挫折,退步,逆流,(疾病的)复发"
limitation,"n.限制,局限性"
confine,"vt.限制,禁闭n.界限,边界"
restrict,"vt.限制,约束,限定"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
bonus,"n.奖金,红利"
enlarge,"v.扩大,放大"
budget,"n.预算vi.做预算,编入预算"
disclose,"vt.揭露,透露"
expose,"vt.使暴露,受到,使曝光v.揭露"
uncover,"vt.揭开,揭露v.揭示"
abandon,"vt.放弃,遗弃;n.放任,狂热"
quit,"vi.离开,辞职,停止vt.离开,放弃,解除,停止"
resign,"n.辞去(职务)v.辞去,辞职"
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
expel,"v.驱逐,开除,排出,发射"
qualify,"v.(使)具有资格,证明合格,限制修饰vt.限制,限定"
qualification,"n.资格,条件,限制,限定,赋予资格"
license,"n.许可(证),执照vt.许可,特许v.许可"
licence,"n.执照,许可证,特许vt.许可,特许,认可,发给执照"
favorable,"adj.赞成的,有利的,赞许的,良好的,讨人喜欢的,起促进作用的"
favourable,"adj.赞成的,称许的,有利的,顺利的n.有利"
disperse,"v.(使)分散,(使)散开,疏散"
dispel,"vt.驱散,驱逐,使消散"
objection,"n.异议,缺陷,妨碍,拒绝之理由"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格adj.客观的,[语法]宾格的"
subjective,"adj.主观的,个人的"
renew,"vt.使更新,使恢复,重申,补充,续借,复兴vi.更新,重新开始"
relieve,"vt.减轻,解除,援救,救济,换班"
rehearsal,"n.排演,演习,预演,试演"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
