arroyo,"n. 干涸沟壑, 旱谷, 小河"
brook,"n. 小溪
vt. 容忍"
canyon,"n. 峡谷, 海底悬崖"
cape,"n. 岬, 海角, 披肩, 斗蓬"
cavern,"n. 巨穴, 洞窟, 深处
vt. 放于山洞中, 挖空"
crater,"n. 火山口, 环行山, 弹坑
[化] 焊口; 火山石; 弧坑; 焰口"
creek,"n. 小溪, 小河, 小湾"
crest,"n. 冠, 饰毛, 头盔的顶部
vi. 到达绝顶
vt. 加以顶饰"
eddy,"n. 逆流, 漩涡
v. (使)起漩涡"
fluvial,a. 河流的
ford,[网络] 福特
geyser,"n. 喷泉, 间歇泉"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
grotto,"n. 洞穴, 岩穴, 洞室"
insular,"a. 岛的, 岛民的, 与世隔绝的, 孤立的, 保守的
[医] 岛的, 胰岛的, 脑岛的"
isthmus,地崃
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
[经] 海事的, 海上的, 海员的"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
mesa,"n. 台面, 岩滩, 平顶山"
mire,"n. 泥沼, 泥泞
vt. 使陷于泥泞, 使陷入困境
vi. 掉进泥坑"
oasis,"n. 绿洲, 舒适的地方
[医] 绿洲(沙漠中), 健岛(病变区中的健康组织)"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
pinnacle,"n. 小尖塔, 尖峰, 高峰, 极点
vt. 造小尖塔, 置于尖顶上"
precipice,"n. 悬崖, 绝壁, 险境"
ravine,"n. 峡谷, 冲沟, 溪谷"
ridge,"n. 脊, 山脊, 山脉
[医] 嵴, 脊, 棱线"
rivulet,n. 小河
shoal,"n. 浅水, 浅滩, 沙洲, 鱼群, 暗礁, 潜在危险
a. 浅的
vi. 鱼成群而游, 变浅
vt. 使变浅"
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
stratum,"n. 层, 地层, 阶层
[医] 层"
