spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季；全盛时期
vi. 避暑；过夏天
adj. 夏季的
n. (Summer)人名；(德)祖默；(英)萨默"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的
n. (Autumn)人名；(英)奥特姆"
winter,"n. 冬季；年岁；萧条期
vi. 过冬
adj. 冬天的；越冬的
n. (Winter)人名；(英、德、匈、罗、捷、西、芬、瑞典、法)温特"
a monkey,[网络] 猴子；一只猴子；他们看到了什么
a tiger,[网络] 老虎；一只老虎；一支老虎
a panda,无
a bear,"[常与can连用, 多用于否定句]忍受, 容忍"
a lion,无
a plane,n. 原子动力飞机
a train,[网络] A列车；东涌线列车；火车
a jeep,无
a boat,[网络] 船；小船；小艇
a doll,[网络] 玩偶；一个洋娃娃；一只娃娃
a puzzle,无
a yo-yo,无
a puppet,无
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
Music,"n. 音乐, 乐曲"
English,"adj. 英文的；英国的；英国人的
n. 英语；英文；英国人；英格兰人
vt. 把…译成英语"
Maths,"n. 数学（尤作为学校课程）；运算；计算
[网络] 附加数学；代数几何教学软体"
PE,"n. 体育（课）（全写为 physical education）
[网络] 聚乙烯(Polyethylene)；私募股权投资(Private Equity)；市盈率"
Art,[计] Xara Studio绘画文件；Canon Crayola美术文件；Clip Art文件格式；另一种光线跟踪格式；AOL使用的用Johnson-Grace压缩算法压缩的标记文件
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的
n. (Seven)人名；(土库、阿塞)谢文；(土)塞文"
eight,"n. 八人划船队；由八人划的船
num. 八
[网络] 捌；八个；第八"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的
n. (Nine)人名；(塞)尼内"
ten,"ten
[ten]
n.
十，十个
表示十的符号(如10，X)
第十
十个(人或物)一组
以十计数的东西
有十点的扑克牌
10分钟；10点钟
[口语] 10英镑纸币
10美元纸币
10号尺码(的衣服)
[亦作 ten's place]【数学】十位
【广播】(电台或电视台播出的)10秒钟广告
[美国口语]大美人，最美的女子
(以10表示最好或最高记录)顶级，最佳者，得分最高者，最优秀者，佼佼者
[Ｔ-][口语](以10分为满分的评比中)得分最高者
adj.
十(个)的
短语:
nine times (或 cases) out of ten
十之八九，几乎每次，常常
take ten
[美国口语]小憩；休息10分钟
ten a penny
[英国口语](就像1便士可买10个似的)不值钱
tens of thousands
好几万
ten times
十倍(于…)，(比…)得多
ten to one
[口语]十之八九，很可能
十比一
the upper ten
贵族阶层，上流社会[亦作 the upper ten thousand]
ten.
abbr.
tenor
【音乐】tenuto"
eleven,"num. 十一, 十一个"
twelve,"n. 十二；十二个
num. 十二；十二个
adj. 十二的；十二个的"
a jacket,[网络] 夹克衫；一件茄克衫；一件夹克衫
a dress,[网络] 你的英文地址；地址值；总部地址
a shirt,[网络] 运动背心
a blouse,无
a bottle,无
a box,[网络] 盒子；一个盒子；装这些东西的箱子
a can,[网络] 罐头；一罐；一个罐头
on,suf. 表示“非酮(或氧基)化合物”：parathion; 表示：[生物学]“…子(指基本遗传成分)”; [物理学]“…子(指基本粒子或量子)”; [化学]表示“惰性气体”：neon
in,"prep. 参与；参加；穿着；进入
adv. 进入；在内；上涨；在里面
n. 执政党；〈美口〉入口；门路；提携
adj. 流行的；时髦的
abbr. (=indium)【化】(铟)
[网络] 在……里面；输入端(inputs)；用"
a bed,abbr. Bachelor of Arts in Education 教育学士
a TV,abbr. 全地形交通工具（All-Terrain Vehicle）；自动售票机（Automatic Ticket Vendor）；联合电视公司（英国）（Associated Television）
go to school,上学
go home,回家
go to bed, [人名] 戈特贝德
