sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
mood,"n. 心情, 气氛, 生气, 基调
[医] 心境"
static,"a. 静态的；静电的；静力的
n. 静电；静电干扰"
senator,"n. 参议员, (某些大学的)理事
[法] 参议员, 上议员"
hobby,"n. 嗜好, 癖好, 爱好"
lad,[=liver alcohol dehydrogenase]肝脏乙醇脱氢酶
equip,"vt. 装备, 配备
[机] 设备, 装置"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
software,软件;程序设备;语言设备;方案;设计计算法
stir,"n. 搅拌；轰动
vt. 搅拌；激起；惹起
vi. 搅动；传播；走动"
distribution,"n. 分布；分配；分发；分销
[网络] 配送；发行；配销"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
solution,"n. 解决, 解答, 溶液
[化] 溶液"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
ministry,"n. 部, 内阁, 服务
[经] 部"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
describe,"vt. 描述, 描绘, 画"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
circumstance,"n. 环境, 状况, 事件"
core,comb.form 表示“…类别的摇滚乐”：queercore
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
[计] 负差"
statistic,"n. 统计量
a. 统计的, 统计学的"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
[医] 妊娠的, 有孕的"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
[计] 扇面; 扇区; 段; 区段"
detection,[科技] 探测
statue,"vt. 以雕像装饰
n. 雕像"
bride,n. 新娘
cycle,[网络] -周期
saucer,[地名] 绍塞河 ( 阿根 )
skillful,"a. 熟练的, 巧妙的
[机] 熟练的"
civilization,"n. 文明, 教化
[法] 文明, 文化, 文明国家的总称"
overhead,[网络] 制造费用；顶置空间；过顶球
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
[计] 对撞"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
[计] 授权命令"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
[计] 中级"
guitar,n. 吉他
comprehensive,"a. 广泛的, 有理解力的, 综合的
[经] 广泛的, 综合的, 全面的"
presence,"n. 出席, 面前, 存在, 仪态, 风度
[电] 出现"
appliance,"n. 器械, 用具, 应用
[医] 矫正器; 器"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
[化] 紧急情况"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
[计] 求解"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
[计] 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
status,"n. 状态, 情形, 地位, 要人身份
[计] 状态"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
include,"vt. 包括, 把...算入, 包住
[计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
[化] 抵抗; 抗性; 阻力; 抗药性; 电阻"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
ambassador,"n. 大使
[法] 大使, 使节, 代理"
derive,"vt. 得自
vi. 起源"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
mental,"suf. 表示""行为的"""
