ability,"suf. [用于构成名词, 意义相当于-able]表示“能力”, “可能性”, “倾向性”, “适宜性”"
absent,"adj. 没有；无；离开；缺勤的
v. 使缺席
[网络] 不在离席"
activity,"n. 活动, 行动, 活跃, 活力
[计] 活动"
after-school,"a. 课外的,供课外活动用的"
algebra,n. 代数学
appropriately,"adv. 适当的, 恰如其分的, 恰当的, 合适的"
arithmetic,"n. 算术, 算术知识
[机] 算术; 算术的"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
assessment,"n. 评估, 估定, 评定的款额
[化] 评估"
assumption,"n. 假定, 自负, 担任, 假装
[经] 假定, 承担"
attentively,"adv. 注意地, 留心地"
boarding,"n. 木板
[机] 起纹"
botanical,"a. 植物学的
n. 植物性药材"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
cheerleader,n. 啦啦队长
cheerleading,n. 带领啦啦队
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
competitive,"a. 竞争的
[经] 竞争的"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
compulsory,"a. 被强制的, 强迫的, 义务的
[经] 强迫的, 强制的"
conservative,"a. 保守的, 守旧的, 有保存力的
[化] 防腐剂; 保存剂"
consider,"v. 考虑, 思考, 认为"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
course,"adv. 〈口〉当然
n. 过程；航向；球场；【教】课程
v. (某种液体)流下；(某种感觉)突然变得很强烈；(带着猎犬)打猎
[网络] 一道菜；路线；经过"
cube,"n. 立方体, 立方
[机] 立方体, 立方"
determination,"n. 决心, 果断
[化] 判定; 测定"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
difference,"n. 不同, 差异
[计] 差分"
different,"a. 不同的
[机] 差动, 微分的, 差速器"
difficult,[网络] 困难的
difficulty,"n. 困难, 难点"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discuss,"vt. 讨论, 论述
[医] 讨论, 辩论"
educator,n. 教育家
excellent,"a. 优良的, 杰出的, 出色的"
expect,"vt. 预期, 盼望, 期待"
