deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
[法] 预防, 排除, 消除"
premier,"n. 总理, 首相
a. 首位的, 最初的"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
[法] 因此, 由是"
civic,"a. 市的, 市民的, 公民的
[法] 公民的, 市民的, 公民资格的"
patriotic,"a. 爱国的, 有爱国心的
[法] 爱国的, 有爱国心的"
clear-cut,"adj. 清晰的
[网络] 皆伐；清楚的；明确"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
scholarly,"a. 学者派头的, 学者风度的, 有学问的, 博学的, 好学的"
idiot,"n. 白痴, 极蠢之人
[医] 白痴者, 痴子"
bypass, 旁路，绕道
persecution,"n. 虐待, 迫害运动, 迫害, 烦扰
[法] 迫害, 虐待, 困扰"
misfortune,"n. 不幸, 灾祸, 坏运气
[法] 不幸事故, 不幸, 灾祸"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamorous,"a. 富有魅力的, 迷人的"
tragic,"a. 悲惨的, 悲剧的"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
optimism,"n. 乐观主义, 乐观, 乐天
[医] 乐观主义, 乐观"
dedication,"n. 奉献, 献身, 献辞
[计] 专用"
commend,"vt. 嘉奖, 委托给, 推荐"
uphold,vt. 支撑；鼓励；赞成；举起
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
statesman,n. 政治家
diligent,"a. 勤勉的, 用功的"
diligently,adv. 勤奋地；勤勉地
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
[法] 追捕, 追求"
ranch,"n. 大牧场
v. 经营牧场"
prestige,"n. 声望, 威望, 威信
[经] 商誉, 声誉"
circuit,"n. 电路, 环(行)道, 巡回
[计] 线路; 电路"
unprecedented,"a. 空前的
[经] 空前的, 无前例的"
nominate,"vt. 提名, 任命, 命名
[法] 提名...为候选人, 指定, 推荐"
appoint,"vt. 任命, 指定, 下令
[法] 派, 派任, 任命"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
[医] 流产, 小产; 顿挫"
expend,"vt. 花费, 消耗, 用光"
threat,"n. 恐吓, 恶兆, 威胁
[经] 威胁"
inward,"a. 内心的, 向内的, 本来的
[医] 向内的"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
[计] 健壮性"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
[化] 维修"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
transcend,"vt. 超越, 胜过"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
remove sth. from sth.,从...除去
remove sb. from sth.,从...除去
deviate from sth.,"偏离…,背离…;放弃…"
preclude sb. from doing sth.,无
write sb. off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
[网络] 勾销；取消；冲销"
write sth. off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
[网络] 勾销；取消；冲销"
fail in sth.,在…失败;缺乏…
triumph over,"击败, 成功, 得胜"
in pursuit of sth., 追求，寻求
in the pursuit of sth.,[网络] 追求；奉行
work one's way to,无
work one's way through,从头到尾做
work one's way into,兢兢业业地达成
act as," 担当…, 起…的作用; 充; 充当; 为"
fall down," 倒塌, 跌倒; 失败; 趴架; 栽倒"
