define,"vt.定义,详细说明"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
identifiable,adj.可以确认的
identity,"n.同一性,身份,一致,特性,恒等式"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
determinism,n.决定论
judge,
behavior,"n.举止,行为"
behavioral,adj.动作的
conduct,"n.行为,操行v.引导,管理,为人,传导"
manner,"n.礼貌,风格,方式,样式,习惯"
performance,"n.履行,执行,成绩,性能,表演,演奏"
demand,"n.要求,需求(量),需要v.要求,需要,要求知道,查询"
require,"vt.需要,要求,命令"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
acclaim,"n.喝彩,欢呼v.欢呼,称赞"
claimant,"n.(根据权利)提出要求者,原告"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
assert,"v.断言,声称"
assertion,"n.主张,断言,声明"
request,"vt.请求,要求n.请求,要求,邀请"
affirm,"v.断言,确认,肯定"
allegation,"n.主张,断言,辩解"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
ignorant,adj.无知的
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
own,"adj.自己的,特有的,(不用所有格)嫡亲的,同胞的vt.拥有,自认,承认vi.承认"
ownership,"n.所有权,物主身份"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
monopoly,"n.垄断,垄断者,专利权,专利事业"
possession,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
possess,"vt.占有,拥有,持有,摆布,支配"
occupy,"vt.占,占用,占领,占据"
occupation,"n.职业,占有,占有(房屋等)期间"
state,"n.情形,状态,国家,政府,州adj.国家的,国有的,国营的,州的,正式的,典礼用的vt.声明,陈述,规定"
statement,"n.声明,陈述,综述"
statesman,n.政治家
understatement,"n.保守的陈述,掩饰"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
specify,"vt.指定,详细说明,列入清单"
detail,"n.细节,详情vt.详述,细说"
explanation,"n.解释,解说,说明,辩解,互相讲明"
explanatory,"adj.说明的,解释性"
interpretation,"n.解释,阐明,口译,通译"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
misinterpretation,"n.误译,曲解"
exemplify,"vt.例证,例示,作为...例子"
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
view,"n.景色,风景,观点,见解,观察,观看,意见,认为vt.观察,观看"
observe,"vt.观察,观测,遵守,评述,说"
observation,"n.观察,观测,[pl.] 观察资料(或报告)"
witness,"n.[律]证人,目击者,证据,证明,证词vt.目击,为...作证,证明,表明vi.作证,成为证据"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
glimpse,"n.一瞥,一看v.瞥见"
suggest,"vt.建议,提出,使想起,暗示"
suggestion,"n.提议,意见,暗示,微量"
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
reference,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
mention,"vt.提及,说起n.提及,说起v.论及,提及"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
proposal,"n.提议,建议"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
recommendation,"n.推荐,介绍(信),劝告,建议"
convincing,"adj.令人信服的,有力的,令人心悦诚服的"
convince,"vt.使确信,使信服"
persuade,"v.说服,劝说,(使)相信,劝某人做(不做)某事"
persuasive,"n.说服者,劝诱adj.善说服的"
advisory,"adj.顾问的,咨询的,劝告的"
announce,"vt.宣布,通告"
announcement,"n.宣告,发表,一项公告,一项私人告示"
publish,"v.出版,刊印vt.公布,发表"
publication,"n.出版物,出版,发行,公布,发表"
publicity,n.公开
publicize,v.宣扬
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
advertisement,"n.广告,做广告"
advertising,"n.广告业,广告adj.广告的"
advertiser,"n.登广告者,广告客户"
declaration,"n.宣布,宣言,声明"
deal,"n.交易,(政治上的)密约,待遇,份量,<口>买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
solution,"n.解答,解决办法,溶解,溶液 解决方案"
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
administration," /[)n/n.管理,经营,衅]网络管理"
regulation,"n.规则,规章,调节,校准"
regulator,"n.调整者,校准者,调整器,标准仪"
regulate,"vt.管制,控制,调节,校准"
regulatory,adj.调整的
arrange,"v.安排,排列,协商"
supervise,"v.监督,管理,指导"
supervision,"n.监督,管理"
surveillance,"n.监视,监督"
cope,"vi.(善于)应付,(善于)处理"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
monitor,"n.班长,监听器,监视器,监控器vt.监控v.监控"
consider,"vt.考虑,照顾,认为"
consideration,"n.体谅,考虑,需要考虑的事项,报酬"
reflect,"v.反射,反映,表现,反省,细想"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
deduce,"vt.推论,演绎出"
ponder,"v.沉思,考虑"
admit,"v.容许,承认,接纳"
recognize,"vt.认可,承认,公认,赏识vi.具结"
recognition,"n.赞誉,承认,重视,公认,赏识 识别"
acknowledge,"vt.承认,答谢,报偿"
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
productivity,n.生产力
generate,"vt.产生,发生"
generative,adj.生成的
output,"n.产量,输出,输出量"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
manufacture,"vt.制造,加工n.制造,制造业,产品"
manufacturer,"n.制造业者,厂商"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
sensory,"adj.感觉的,感官的"
perceive,"vt.察觉v.感知,感到,认识到"
conscious,
consciousness,"n.意识,知觉,自觉,觉悟,个人思想"
subconscious,adj.下意识的
detect,"vt.察觉,发觉,侦查,探测v.发现"
detector,"n.发现者,侦察器,探测器,检波器,检电器"
cognitive,"adj.认知的,认识的,有感知的"
comprehension,"n.理解,包含"
predict,"v.预知,预言,预报"
prediction,"n.预言,预报"
unpredictability,
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
foreseeable,"adj.可预知的,能预测的,能看透的"
create,"vt.创造,创作,引起,造成"
innovation,"n.改革,创新"
innovative,"adj.创新的,革新(主义)的"
formulate,"vt.用公式表示,明确地表达,作简洁陈述v.阐明"
formulation,"n.用公式表示,明确地表达,作简洁陈述"
invent,"vt.发明,创造v.发明"
novelty,"n.新颖,新奇,新鲜,新奇的事物"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
further,"adj.更远的,更多的,深一层的vt.促进,增进,助长adv.更进一步地,更远地,此外"
contribute,"v.捐助,捐献,贡献,投稿"
contributory,"n.贡献人,捐助者adj.贡献的,捐助的"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
advanced,"adj.高级的,年老的,先进的"
boost,v.推进
motivate,v.激发
motion,"n.运动,动作v.运动"
motive,"n.动机,目的adj.发动的,运动的"
assist,"v.援助,帮助"
motor,"n.发动机,电动机"
propel,"vt.推进,驱使"
criticize,"v.批评,责备"
criticism,"n.批评,批判"
critic,"n.批评家,评论家,吹毛求疵者"
critique,n.批评
blame,"n.过失,责备vt.责备,谴责"
condemn,"vt.判刑,处刑,声讨,谴责"
found,"v.建立,创立,创办,使有根据,铸造,熔制"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
established,"adj.已制定的,确定的"
establishment,"n.确立,制定,设施,公司,军事组织"
construct,"vt.建造,构造,创立"
construction,"n.建筑,建筑物,解释,造句"
provide,"v.供应,供给,准备,预防,规定"
supply,"n.补给,供给,供应品vt.补给,供给,提供,补充,代理vi.替代他人职务"
cater,"vi.备办食物,满足(需要),投合"
equip,"vt.装备,配备,训练,准备行装"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
provision,"n.供应,(一批)供应品,预备,防备,规定"
gain,"n.财物的增加,财富的获取,利润,腰槽,收获vt.得到,增进,赚到,开腰槽于vi.获利,增加"
obtain,"vt.获得,得到"
acquire,"vt.获得,学到"
acquisition,"n.获得,获得物"
inherit,"vt.继承,遗传而得"
attain,"vt.达到,获得v.达到"
reap,"v.收割,收获"
select,"vt.选择,挑选adj.精选的"
selection,"n.选择,挑选,选集,精选品"
option,"n.选项,选择权,[经]买卖的特权"
optional,"adj.可选择的,随意的"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
clue,n.线索
trail,"n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走"
evaluate,"vt.评价,估计,求...的值v.评价"
evaluation,"n.估价,评价,赋值"
assess,"vt.估定,评定"
assessment,"n.(为征税对财产所作的)估价,被估定的金额"
estimate,"v.估计,估价,评估n.估计,估价,评估"
overestimate,"vt.评价过高n.估计的过高,评价的过高,"
underestimate,"vt.低估,看轻n.低估"
criterion,"n.(批评判断的)标准,准据,规范"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
supposed,"adj.假定的,假像的"
infer,v.推断
inference,n.推论
wonder,"n.奇迹,惊奇,惊愕vt.对...感到惊讶,惊奇,想知道vi.惊讶,怀疑adj.非凡的,奇妙的"
