progress,"n.前进,进步,发展vi.前进,进步,进行"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
professor,"n.教授,公开表示信仰的人"
prove,"vt.证明,证实,检验,考验vi.原来(是),证明(是)"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
predict,"v.预知,预言,预报"
herald,"n.使者,传令官,通报者,先驱,预兆vt.预报,宣布,传达,欢呼"
prevent,"v.防止,预防"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
preview,"n.事先查看,[计]预览vt.事先查看,预展,预演"
percent,"n.百分比,百分数"
person,"n.人,身体,容貌,[语法]人称"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
personnel,"n.人员,职员"
perfect,"n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练"
perimeter,"n.[树数] 周长,周界"
persuade,"v.说服,劝说,(使)相信,劝某人做(不做)某事"
pertinent,"adj.有关的,相干的,中肯的"
permit,"n.通行证,许可证,执照v.许可,允许,准许"
proverb,n.谚语
prototype,n.原型
peril,n.危险
receive,"vt.收到,接到,接收,遭到,受到,接待,接见"
rely,"v.依赖,依靠,信赖,信任,依赖于"
rescue,"vt.援救,营救n.援救,营救"
republic,"n.共和国,共和政体adj.共和的"
react,"vi.起反应,起作用,反抗,起反作用"
tact,"n.机智,手法,老练,角觉vt.对(刺激)操作性应答vi.(以言语或声音)操作性应答"
rebuke,"n.指责,谴责,非难vt.斥责,指责,非难,成为对...的指摘"
increase,"n.增加,增大,增长vt.增加,加大vi.增加,繁殖"
incense,"n.熏香,熏香的烟vt.激怒"
individual,"n.个人,个体adj.个别的,单独的,个人的"
indoor,"adj.户内的,室内的"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
inland,"adj.内陆的,国内的adv.在内地,向内地n.内地"
invoice,"n.发票,发货单,货物v.开发票,记清单"
intake,"n.(水管、煤气管等的)入口,进口,通风口,(在一定期间的)引入的量"
inside,"n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面 prep.在...之内"
import,"n.进口货(常用复数),进口,输入,意思,重要性vt.输入,进口,含...的意思,重要,引入vi.有关系,有重要性"
input,n.输入v.输入
invite,"vt.邀请,引起n.邀请"
ink,
export,"vt.输出n.出口货,输出,出口,出口商品v.出口"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
expend,"vt.花费,消耗,支出,[海]把(暂时不用的绳)绕在杆上"
extra,"adj.额外的,不包括在价目内的,特大的,特佳的adv.特别地,非常,另外n.额外的人(或物),(报纸)号外,上等产品,(电影)临时演员"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
experience,"n.vt.经验,体验,经历,阅历"
explain,"v.解释,说明"
interpersonal,"adj.人与人之间的,关于人与人之间关系的"
interview,"vt.接见,会见n.接见,会见"
Internet,
net,"n.网,网络,网状物,净利,实价adj.净余的,纯粹的vt.用网捕,净赚,得到vi.编网 [域] Nerwork operations and service centers,网络服务商"
intercourse,"n.交往,交流"
interface,"n.[地质]分界面,接触面,[物、化]界面"
interconnect,vt.使互相连接
translate,"vt.翻译,解释,转化,转变为,调动vi.翻译,能被译出"
transport,"n.传送器,运输,运输机,激动,流放犯,狂喜vt.传送,运输,流放,放逐"
transplant,"v.移植,移种,移民,迁移n.移植,被移植物,移居者"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
abnormal,"adj.反常的,变态的"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
abolish,"vt.废止,废除(法律、制度、习俗等)"
adapt,"vt.使适应,改编"
adjust,"vt.调整,调节,校准,使适合"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
admire,"v.赞美,钦佩,羡慕"
advantageous,adj.有利的
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
attract,"vt.吸引vi.有吸引力,引起注意"
accumulate,"v.积聚,堆积"
control,"n.控制,支配,管理,调节,抑制,控制器,调节装置vt.控制,支配,管理(物价等),操纵,抑制"
cooperate,"vi.合作,协作"
team,"n.队,组"
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
comfort,"n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
combustion,n.燃烧
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
conceit,"n.原义:想法,意见,自负,幻想,狂妄"
confidence,n.信心
contribute,"v.捐助,捐献,贡献,投稿"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
attribute,"n.属性,品质,特征,加于,归结于"
subway,"n.地道,<美> 地铁"
subdue,v.征服
subsidiary,"adj.辅助的,补充的"
support,"vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受n.支撑,支持,支援,维持,赡养,支持者,支柱"
superb,"adj.庄重的,堂堂的,华丽的,极好的"
supreme,"adj.极度的,极大的,至高的,最高的"
uneasy,"adj.心神不安的,不自在的,不稳定的,不舒服的adv.心神不安地,不自在地,不稳定地"
lock,"n.锁v.锁,锁上,锁住 /n.锁定/解锁"
tie,"n.带子,线,鞋带,不分胜负,关系,领带,领结,平局vt.系,打结,扎,约束,与...成平局vi.被用带(或绳子等)系住,结合,打结,不分胜负"
unfortunately,adv.不幸地
unemployment,"n.失业,失业人数"
unusual,"adj.不平常的,与众不同的,不寻常的"
unlikely,"adj.未必的,不太可能的,靠不住的"
dislike,"vt.讨厌,不喜欢n.嫌恶"
discontinue,"v.停止,废止,放弃"
discard,"vt.丢弃,抛弃v.放弃"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
disclose,"vt.揭露,透露"
discourage,"vt.使气馁,阻碍"
impossible,"adj.不可能的,不会发生的,难以忍受的"
impatient,"adj.不耐烦的,急躁的,不耐心的"
indifferent,adj.无关紧要的
inspect,"vt.检查,视察v.检查"
expect,"vt.期待,预期,盼望,指望,<口>(料)想,认为"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
doubt,"n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕"
despise,vt.轻视
respect,"n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意vt.尊敬,尊重,不防碍"
irrespective,"adj.不顾的,不考虑的,无关的"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
aspect,"n.样子,外表,面貌,(问题等的)方面"
retrospect,n.回顾
spectacle,"n.观览物,展览物,公开展示,奇观,景象,光景,(a pair of ～s)眼镜"
spectacular,"adj.引人入胜的,壮观的"
spectator,n.观众(指比赛或表演)
succeed,"vi.(～ in) 成功v.继...之后,继任,继承,取得成功"
exceed,"vt.超越,胜过vi.超过其他"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
proceed,"vi.进行,继续下去,发生"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
procession,"n.行列,队伍"
procedure,"n.程序,手续"
precede,"v.领先(于),在...之前,先于"
unprecedented,adj.空前的
predecessor,"n.前辈,前任,(被取代的)原有事物"
recede,v.后退
concede,"vt.勉强,承认,退让vi.让步"
access,"n.通路,访问,入门vt.存取,接近"
ascend,"v.攀登,上升"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
transcend,"vt.超越,胜过"
accelerate,"v.加速,促进"
lubricate,vt.润滑v.加润滑油
speculate,"vi.推测,思索,做投机买卖"
permeate,"vt.弥漫,渗透,透过,充满vi.透入"
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
operate,"v.操作,运转,开动,起作用,动手术,开刀n.[军]作军事行动"
meditate,"v.想,考虑,(尤指宗教上的)沉思,冥想"
agitate,"v.搅动,摇动,煽动,激动"
liberate,"v.解放,释放"
nominate,"vt.提名,推荐,任命,命名"
classify,"vt.分类,分等"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
identity,"n.同一性,身份,一致,特性,恒等式"
exemplify,"vt.例证,例示,作为...例子"
purify,vt.使纯净v.净化
simplify,"vt.单一化,简单化"
qualify,"v.(使)具有资格,证明合格,限制修饰vt.限制,限定"
quantify,vt.确定数量v.量化
terrify,"vt.使恐怖,恐吓"
terror,"n.恐怖,可怕的人,恐怖时期,恐怖行动"
realize,"vt.认识到,了解,实现,实行"
industrialize,vt.使工业化vi.工业化
minimize,vt.将...减到最少v.最小化
utilize,vt.利用
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
summarize,"v.概述,总结,摘要而言"
