module,"n. 组件, 模数
[计] 模块"
greeting,"n. 祝贺, 问候"
good,"adj. 好的；优良的；愉快的；虔诚的
n. 好处；善行；慷慨的行为
adv. 好
n. (Good)人名；(英)古德；(瑞典)戈德"
morning,"n. 早晨；上午；午夜至正午的时间
adv. 在上午；在早晨；每天上午
[网络] 早上；清晨；初期"
Ms,abbr. minerals separation 选矿; Monday through Saturday 周一到周六; master-slave (flip-flop) 主-从（触发器）; Material Service (division of General Dynamics) 物资服务部（普通力学分科）
hello,"int. 喂；哈罗
n. 表示问候， 惊奇或唤起注意时的用语
n. (Hello)人名；(法)埃洛"
hi,abbr. Hawiian Islands 夏威夷群岛；height of instrument 仪器高度；horizontal internal 水平间隔
goodbye,"interj. 再见, 再会
n. 告别"
bye,"int. 再见；再会
n. 轮空（参赛者无对手而自动进入下一轮比赛）
[网络] 拜拜(bye-bye)；比赛轮空；再见啦"
mum,"n. 菊花, 沉默
a. 沉默的
vi. 演哑剧
interj. 别说话"
afternoon,"n. 午后, 下午"
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
Mr,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
[网络] 磁共振(magnetic resonance)；中置后驱；甲基红(Methyl Red)"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
dad,[网络] 爸爸；无明显疾病；一台带二级管阵列检测器
are,"v. 是（be的第二人称单复数现在式）
n. 公亩
n. (Are)人名；(意、西、芬)阿雷"
you,"you
[ju:; 弱ju; jə]
pron.
[所有格] your,yours,[宾语]you, [复数] you
你，你们
泛指：一个人，任何人[在词义方面相当于不定代词one]
[用作反身代词]你自己，你们自己
[用作同位关系的名词或名词性词组前，作称呼]你这个，你们这些
[用于动名词前，代替 your]你，你们
n.
[口语]你这个人，你这样的人
短语:
After you!
请先!(请对方先吃或先走的客套话)
as you were
见as¹
between you and me (and bedpost)
[口语]咱们私下说；不为外人道；关起门来说
That's … for you!
[口语]这就是…的问题所在；这就是…的特点[常作贬义]
There's … for you!
[口语]你瞧多么…![多作反语，用于引起注意，表示讽刺]
to you
你应当叫，你不妨说，照通常说法
you ain't seen nothing yet
[俚语]这只是开始，好戏还在后头
You and the other nine.
你一个人还不行，再来一伙人还差不多[对夸口和威胁所表示的嘲笑]。
You and whose army.
你一个人还不行[亦作 you and who?else， 对夸口和威胁所表示的嘲笑]。
you and your
你这个…又来了
you and yours
你与你的家属(或财产)
You ask for it.
你自作自受。
You cackle often, but never lay an egg.
[谚语]但听咯咯叫，不见一蛋生；只闻楼梯响，不见人下来。
You can call a man no worse than unthankful.
[谚语]骂人最厉害莫过于骂他忘恩负义。
You can have no more of a cat than the skin.
猫身上除了一张皮以外别无可取。
you can keep …
我讨厌…；我对…没有一点好感
You can never tell.
[亦作 You never can tell.]很难预料。
you can (may) rest assured
请放心
You can say it again.
[口语]我完全同意；你说的对。
You can't lose what never had.
[谚语]不曾有过，何谈丢失?
You can't see the city for the house.
[谚语]囿于房屋，不见城镇。
You can't win them all.
[口语]胜败乃兵家常事。
You could have fooled me.
[口语]我不相信你。(或：我认为我自己的理解是对的。)
You don't know when you're well-off.
[亦作 You don't know you are alive.]你的境况比你估计的要幸运得多；你身在福中不知福。
You do that.
请便；请吧。
你敢![用于劝阻或阻止某人干某事]
you get
有
You have me there.
[亦作 You've got me there.]你抓住我的弱点了；你把我难住了。
You'll be lucky.
祝你走运；祝你成功。[用于说话人不相信某事真会发生]
You'll know it.
你会吃苦的；会够你受的。
You may (could) go farther and fare worse.
[谚语]走得更远情形可能更坏；知足常乐。
You may well say so.
你完全有理由这样说；你不妨那么说。
You must ask your neighbour if you shall live in peace.
[谚语]要想生活的安宁，就得求助于近邻。
You must go to the country to hear what news at London.
[谚语]要听城里事，须问乡下人。
You must lose a fly to catch a trout.
[谚语]舍不得小鱼饵，钓不到大鱼。
You must take the fat with the lean.
[谚语]不得挑肥拣瘦。
you name it
随你讲什么都行，任凭你说
You never know what you can do till you try.
[谚语]必须先尝试，方知何可为。
You pays your money and takes your choice.
[谚语]碰运气；各取所需。
you people
你们这些人(表示敌对、疏远的口吻)[１９９５]
You rang, sir.
您要点什么；有什么事为您效劳吗?[侍者应铃声前去服务时的用语]
You're a long time dead.
[谚语]人生几何，当及时行乐；人生易逝，好自为之。
You're another.
你自己也一样。[用于还嘴]
You're on it.
事情就这么定了；就这么办了。
You said it.
[口语]你说的对；我完全同意。
You should be so lucky.
[口语]你想得太美了。[用作幽默答语]
You should worry.
[幽默语]你当然用不着担心(或发愁)。
You shouldn't have.
谢谢你的好意。[用于接受礼物时]
You tell'em.
你说的非常对；你说的完全正确。
You tell me.
我一点也不知道；我也不大清楚。
You there!
喂；听着![用于引起人的注意]
You've not (或 never) lived.
你还没有真正充分懂得(或理解)人生；你还没有真正经历(或体验)过(某种)生活。
You what.
[俚语]
请再说一遍，我没听清楚。
你说什么? [表示惊讶、怀疑、气愤等]
You won't catch me …
我决不…；我永远不…
变形：
n.
yous"
How are you?,[口语]；你好![招呼用语]；你好吗?，你身体怎么样?
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
[计] 精细"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
[法] 夜, 黑夜, 黑暗"
grandpa,"爷爷, 老太爷, 外公"
grandma,"n. 奶奶, 外婆"
introduction,"n. 介绍, 传入, 采用, 初步"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
[网络] 五；d日；m月d日"
am,"abbr. 调幅；振幅调制；议员（威尔士议会成员）
[网络] 调幅(amplitude modulation)；上午(a.m.)；是"
I'm,"na. 'im = him
[网络] 即时通讯(Instant Messaging)；即时通信(Instant Messenger)；即时消息"
I am,abbr. 国际机械师协会（International Association of Machinists）；索引存取方法（Indexed Access Method）；国际医学研究院（International Academy of Medicine）；国际气象学会（International Association of Meteorology）
what,"pron. 什么；多么；真；…的事物
adj. 什么；多少；关系形容词
adv. 多少
conj. 同“as much as. He helps me what he can”
[网络] 什麽；做什么；是什么"
is,"v. 是
abbr. (=island；isle)岛；群岛
[网络] 冰岛；在；印度标准(Indian Standard)"
what's," （尤当 has 为助动词时, what is 或 what has 的常用口语形式）; 乌"
what is,[计] whatis命令
your,"pron. 你的, 你们的"
my,"int. 哎呀；表示惊讶
adv. 我的；表示吃惊等；表示亲切；对下级的称呼
abbr. (=Malaysia)马来西亚
pron. ""I"" 的所有格形式
[网络] 马来西亚(Malaysia)；关於我；买"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
[计] 名称, 文件名, 姓名"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋
n. (Let)人名；(缅)莱；(俄)莱特"
us,"pron. 我们
[网络] 美国(United States)；美国码；的缩写更新服务参数(Update Service)"
let's,abbr. 地方交易系统（Local Exchange Trading System）
let us,[网络] 让我们；让我们自己；让我们一起
be,"linkv. 有；等同；存在；提供名称或信息时用
v. 到场；位于；在（某处）；（在某时或某地）发生
auxv. 与过去分词连用构成被动语态；与现在分词连用构成进行时
abbr. (=Bank of England)(英国)英格兰银行
[网络] 是；铍(Beryllium)；比利时(Belgium)"
friend,"n. 朋友, 支持者, 赞助者
[法] 朋友, 友人, 赞助者"
Let's be friends.,无
this,"pron. 这；这里；这时；(前述二物中的)后者
adj. 这；即将来到的；今…
adv. 这个；本；这样；这么
[网络] 这场；此；这位"
teacher,"n. 教师；导师
n. (Teacher)人名；(英)蒂彻"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
Nice to meet you.,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
new,"adj. 刚出现的；新的；新近推出的；新买的
n. 新东西；新事物
abbr. 〈美(=net economic welfare)纯经济福利
adv. 同“newly”
[网络] 新建(New.)；新品；全新"
too,adv. 太；也；很；还；非常；过度
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体
n. (Body)人名；(英、法、罗)博迪"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
[计] 现场可改变的控制元件"
oh,abbr. on-Hudson 邻近哈得逊河
don't,"short. do not
[网络] 不要；别；追上我"
do not,无
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看
n. (Eye)人名；(德)艾厄；(英)艾"
