a,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上"
abandon,"vt.放弃,遗弃;n.放任,狂热"
ability,"n.能力,才干"
able,"adj.能...的,有才能的,能干的,能够的"
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
absence,"n.不在,缺席,缺乏,没有"
absolute,"adj.完全的,绝对的"
absolutely,"adv.完全地,绝对地"
absorb,"vt.吸收,吸引"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
academic,"adj.学院的,理论的"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
acceptable,"adj.可接受的,合意的"
access,"n.通路,访问,入门vt.存取,接近"
accident,"n.意外事件,事故"
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
accompany,"vt.陪伴,伴奏"
according to,
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
accurate,"adj.正确的,精确的"
accuse,"vt.控告,谴责,非难"
achieve,"vt.完成,达到"
achievement,"n.成就,功绩"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
acknowledge,"vt.承认,答谢,报偿"
acquire,"vt.获得,学到"
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
action,"n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉"
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子"
activist,"n.激进主义分子,行动主义分子"
activity,"n.活跃,活动性,行动,行为,[核]放射性"
actor,"n.男演员,行动者,参与者"
actual,"adj.实际的,真实的,现行的,目前的"
actually,"adv.实际上,事实上,竟然,居然,如今"
ad,"n.广告 [域] Andorra ,安道尔 [军] Air Defense,防空 (AD) 公元 (Anno Domini)"
adapt,"vt.使适应,改编"
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
addition,"n.加,加起来,增加物,增加,加法"
additional,"adj.另外的,附加的,额外的"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
adequate,
adjust,"vt.调整,调节,校准,使适合"
administration," /[)n/n.管理,经营,衅]网络管理"
administrative,  court//n.行政法庭 law//n.行政法
admire,"v.赞美,钦佩,羡慕"
admission,"n.允许进入,承认某事之陈述,供认"
admit,"v.容许,承认,接纳"
adopt,"vt.采用,收养"
adult,"n.成人,成年人adj.成人的,成熟的"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
advanced,"adj.高级的,年老的,先进的"
advantage,"n.优势,有利条件,利益"
advert,"vi.注意,留意n.广告"
advertise,"v.做广告,登广告"
advertisement,"n.广告,做广告"
advertising,"n.广告业,广告adj.广告的"
advice,"n.忠告,建议,[商]通知"
advise,"vt.劝告,忠告,警告,建议"
adviser,"n.顾问,<美> (学生的)指导老师"
affair,"n.事务,事件,私事,恋爱事件,(尤指关系不长久的)风流韵事"
affect,"vt.影响,感动,侵袭,假装"
afford,"vt.提供,给予,供应得起,"
afraid,"adj.害怕,担心"
after,"adv.prep.conj.在...之后,在...后面,模仿,与...一致,以...命名,后来的,后面的"
afternoon,"n.午后,下午adv.下午的,晚期"
afterwards,"adv.然后,后来地"
again,"adv.又,再次,此外,再一次"
against," prep.相反,反对,逆着,靠着,倚着"
age,"n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟"
aged,"adj.年老的,...岁的,老年人特有的"
agency,"n.代理处,行销处,代理,中介"
agent,n.代理(商)
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
ago,"adv.以前的,以往的"
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意"
agreement,"n.同意,一致,协定,协议"
agriculture,"n.农业,农艺,农学"
ahead,"adj.adv.在前,向前,提前,在前面"
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助;Association Identifier,相关标识"
aim,"n.目标,目的,瞄准v.对...瞄准,打算"
air,"n.空气,样子,天空,空中,曲调vt.晾干,使通风,宣扬,夸耀,显示"
aircraft,n.航行器
airline,n.定期航线
airport,"n.<主美>小型民用机场,私人飞机降落场"
alarm,"n.警报,惊慌,警告器vt.恐吓,警告"
album,"n.集邮本,照相簿,签名纪念册"
alcohol,"n.酒精,酒"
alive,"adj.活着的,活泼的"
all,"adj.全部的,所有的,整个的adv.完全,更加,越发 pron.全部"
all right,
allow,"vt.允许,承认"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
