plan,"n. 计划；方案；打算；平面图
v. 计划；打算；设计；策划
[网络] 规划；计画；计划阶段"
candidate,n. 候选人，候补者；应试者
convenient,"a. 方便的, 合宜的
[法] 适当的, 合理而可行的, 方便的"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
bookstore,"na. 〈美〉书店
[网络] 书局；书店购物；在书店"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
[经] 交运"
national,"a. 国家的, 国立的, 全国性的, 民族的
[经] 全国性的, 国家的, 国民的"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
[计] 品质"
arrange,"v. 安排, 排列, 达成协议
[计] 重排"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
[计] 入口"
account,"n. 账户；解释；账目，账单；理由
vi. 解释；导致；报账
vt. 认为；把…视为"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试
n. (Test)人名；(英)特斯特"
trustworthy,[科技] 可信的
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
MA,瘤
Master of Arts,"文学硕士, 文科硕士"
terms of payment,[经] 付款条件
gratitude,n. 感激之情
MS,"abbr. 多发性硬化
n. “M”的复数
[网络] 质谱(mass spectrum)；时间；毫秒"
Master of Science,理科硕士
after-sales service,"un. 售后服务
[网络] 提供维修服务；售后服务保证；售后服务部"
place an order of,无
with due consideration of,无
EMS,[医] 急救医疗组织
Express Mail Service, EMS 特快专递
professor,n. 教授
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
inform,"身体好,竞技状态好"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
[计] 事件"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
activity,"n. 活动, 行动, 活跃, 活力
[计] 活动"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
workshop,"[计] 专题讨论会, 学术会议"
invitation,"n. 邀请, 请柬, 引诱
[经] 邀请, 招待, 吸引"
conference,"n. 会议
[经] 会议, 讨论会, 协商会"
seminar,"n. 研究班, 专题讨论会
[经] 讨论会, 专家讨论会"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
[法] 给...权利, 使有资格, 称呼"
round trip, 往返旅行
so that,所以
Sino-,"a. 中国人的, 中国的"
air ticket, 飞机票
necessary,a. 必要的；必然的；必需的
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
[医] 调节(眼); 适应"
arrangement,"n. 排列, 整齐, 安排
[计] 排列"
religious studies,"n. 宗教学
[网络] 宗教研究；宗教学研究；宗教研究学"
expense,"n. 费用, 代价, 开支, 损失
[经] 费用, 开支, 将支出转为费用"
subsidize,"vt. 补助, 资助, 贿赂
[经] 资助, 津贴, 给...补助金"
cordially,"adv. 诚恳地, 诚挚地, 诚实地"
guest speaker,"应邀发言者,客座演说者"
recreational activities, [医]娱乐活动
date of arrival,[经] 到达日
congratulations,n. 祝贺；恭喜；贺词（congratulation的复数形式）
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
[计] 接收"
excellent,[网络] 都是四星；爱格斯兰
doctorate,n. 博士头衔
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
[化] 承包; 承担"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
no doubt,无疑地
Yale University,耶鲁大学
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
achievement,"n. 完成, 成就, 功业"
on sb.'s part,无
may well,"很有理由,大有可能;不妨"
follow,"vt. 跟随；遵循；追求；密切注意，注视；注意；倾听
vi. 跟随；接着
n. 跟随；追随"
in light of,"按照, 根据"
track record,"径赛成绩记录
[经] 工作履历, 业绩档案"
think sth. over,"v. 仔细考虑
[网络] 仔细思考；仔细考虑一下；再三考虑"
interview,"n. 接见, 采访；面试, 面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
apologize,"vi. 道歉, 辩解"
unfortunately,"adv. 恐怕, 不幸的是"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
infection,"n. 传染, 影响, 传染病
[医] 传染, 感染"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
surgery,"n. 外科, 手术, 手术室, 换球术"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
therefore,adv. 因此；所以
go for an interview,无
be diagnosed with,[网络] 被诊断为；被诊断出；被诊断为什么病
make the interview,无
opportunity,"n. 机会, 时机"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
[化] 冻结; 冻结作用; 凝固; 凝固作用"
encouragement,"n. 鼓励, 激励, 奖励
[法] 怂恿, 煽动, 助长"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
[化] 强度"
accident,[网络] 意外事故；意外
once more,再一次
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
get sb. through sth.,"做完, 通过, 度过"
spur sb. on,"鼓舞,鞭策,激励"
commend,"vt. 嘉奖, 委托给, 推荐"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
[计] 记入; 登记, 上电自检"
computer room,"[计] 计算机机房
[化] 计算机室"
lecture notes,"[计] 讲稿, 讲义"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
[计] 请求"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
Internet,[网络] 互联网；因特网；网际网路
Internet access,"n. 网路存取
[网络] 互联网接入；上网；网际网路"
install,vt. 安装；设置；正式任命；使就职；任用；安顿；安置
throughout,[网络] 生产量；有效产出；透背
dormitory,n. 宿舍
urgent,"a. 紧急的, 急迫的, 催逼的
[经] 紧急的, 急迫的"
require,"vt. 需要, 命令, 要求
[法] 需要, 要求, 命令"
widespread,"adj. 广布的；蔓延的；普遍的
[网络] 普及的；广泛流传的"
communication,"n. 交流, 交通, 通讯
[计] 通信"
commend sb. for sth.,〈正〉因…赞扬
equip sth. with sth., 装备，配备
complain,"v. 抱怨, 抗议, 控诉"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
description,[网络] 描写；摹状词
agency,"n. 代理机构, 经销商, 中介
[化] 办事处"
four-star,"adj. 〈美〉优良的；〈美〉四星级军衔的
[网络] 星半豪华游轮；星系列；上海新晖豪生大酒店"
unacceptable,"a. 无法接受的, 不受欢迎的
[法] 不能接受的, 不受欢迎的, 难以承认的"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
[计] 选定"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
compensate,"v. 偿还, 补偿, 付报酬"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
expense,"n. 费用, 代价, 开支, 损失
[经] 费用, 开支, 将支出转为费用"
