fast,"adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒
n. 斋戒；绝食
n. (Fast)人名；(德、英、俄、芬、捷、瑞典)法斯特"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
fund,"n. 基金；资金；专款；储备
v. 为…提供资金；拨款给
[网络] 存款；资助；现款"
World Vision,[网络] 世界宣明会；世界展望会；世界美景
shocking,"a. 令人震惊的, 极坏的, 不正当的"
famine,"n. 饥荒, 缺乏, 饥饿"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
starve,"v. (使)饿死, (使)挨饿"
donation,"n. 捐赠物, 捐款, 捐赠
[经] 赠品, 捐款, 捐赠"
collect,abbr. collection 收藏; 征收; collective 集体的; collectively 全体的
donate,v. 捐赠
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
funfair,"n. 游乐园, 游乐场"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
[计] 趋势预测"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
in aid of,"为援助,以援救…"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
brilliant,"a. 光辉的, 灿烂的, 有才气的
[机] 亮的"
crowded,"a. 拥挤的, 塞满的"
portrait-sketching,无
karaoke,"n. 卡拉OK；卡拉OK录音, 自动伴奏录音"
calculate,"v. 计算, 预测, 计划, 打算"
walkathon,n. <美><加拿大>(尤指为特定事业筹款而进行的) 步行马拉松
alumni,"pl. 男毕业生, 男校友"
home,"n. 家；家庭；家乡；住宅
v. 回家；居住；(飞机)归航；【火箭】(自动)导航
adv. 在家；到家；向家；到正确的位置
adj. 家的；家庭的；在家里做的；家用的
[网络] 首页；主页；网站首页"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
IT,"n. 信息技术（全写为 information technology，对将电子处理程序及设备应用于存储和发送各类信息的研究和利用）
[网络] 信息技术(Information Technology)；它；资讯科技"
information technology,"n. 信息技术
[网络] 百度云空间"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
proceeds,"pl. 收益
[经] 收入, 收款, 所得"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
[网络] 恢复知觉；达到；到达"
astonished,a. 吃惊的
pick up,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
[电] 拾音器"
souvenir,n. 纪念品
lasting,"a. 永久的, 永恒的, 持久的
n. 厚实斜纹织物"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
[计] 驱动器"
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
pint,"n. 品脱(干量或液量的单位)
[医] 量磅, 品脱"
play a role in,在...起作用
trucking,n. 货车运输业；货车运输；以货易货
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
virtually,adv. 事实上
critical,"a. 批评的, 决定性的, 危险的, 临界的
[医] 危象的; 临界的, 极期的"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
[网络] 在手边；在场；在手头"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
[计] 置换; 替代"
pair ... with,与...成对
due to,"由于, 应归于"
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
well-argued,[网络] 有说服力的；全面考虑的价值的充分论证
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
refute,"vt. 反驳, 驳斥；驳倒"
argument,"n. 争论, 论证, 论据, 自变量
[计] 参数"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
servant,"n. 仆人, 有用物, 公务员, 雇员
[法] 受雇人, 服务者, 公务员"
status,"n. 地位；身份；情形；法律地位（或身份）
[网络] 老实待在那"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
commit suicide,[法] 自杀
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
[计] 人工的, 手动的"
manual labour,"[经] 手工劳动, 体力劳动"
statistics,"n. 统计学, 统计资料
[计] 统计信息"
life expectancy,"[计] 估计寿命, 预期使用寿命
[化] 耐用期限"
weightlifting,n. 举重
pay ... a compliment,[网络] 致意；赞美
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
concede,"vt. 承认, 退让
vi. 让步"
working,"adj. 有工作的；有职业的；做工的；从事体力劳动的
n. （机器、系统、组织等的）运作；作业区
v. “work”的现在分词
[网络] 迷糊餐厅；工作中；工人的"
non-working,adj. 不用加工的，直接使用的; 非劳动力的; 不为报酬的，无报酬的
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
priority,"n. 优先；优先权；重点；优先事项
[网络] 优先级"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
point out,"na. 指出
[网络] 指明；说明；指示"
discrimination,"n. 差别, 岐视, 辨别力
[化] 鉴别"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
[计] 资源"
play one's part,尽自己职责；尽自己本分；尽自己一份力量
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
puberty,"n. 青春期, 春情发动期
[医] 青春期(12-17岁)"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
[计] 阶段"
head,"n. 头；头痛；上端；最前的部分；理解力
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往
a. 头的；主要的；在顶端的
n. (Head)人名；(英)黑德"
adulthood,"n. 成年
[医] 成人期"
responsibility,"n. 责任, 职责, 负担, 可靠性
[化] 职责"
deepen,"vi. 深化
vt. 使加深, 使强烈"
pimple,"n. 丘疹, 小脓疱
[医] 丘疹, 小脓疱"
see-saw,"n. 跷跷板, 跷跷板游戏, 起伏交替的动作
a. 上下或前后摇动的, 交互的
vi. 玩跷跷板, 上下或来回摇动
vt. 使上下或来回摇动"
hormone,"n. 荷尔蒙
[化] 激素(旧称荷尔蒙)"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
insecure,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的"
reluctant,"a. 不情愿的, 勉强的
[法] 不愿的, 勉强的, 难以处理的"
cope,"vi. 处理；对付；竞争
n. 长袍
n. (Cope)人名；(英)科普；(西)科佩"
sensible,"a. 有感觉的, 敏感的, 明智的
[医] 可感觉的"
risky,a. 危险的
lifelong,"adj. 终身的
[网络] 终身险；终身服用；是长寿"
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
the Straits of Malacca,无
luxurious,"a. 豪华的, 奢侈的, 放纵的"
acre,n. 英亩
beachfront,"n. 海滨地区
adj. 靠海滨的"
whirlpool,"n. 漩涡, 涡流
[化] 涡流"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
windsurfing,(wind-surf 的现在分词) 风帆
waterskiing,(waterski 的现在分词)  进行水橇滑水
