Broadband phone,[网络] 宽带电话
assessment,"n. 评估, 估定, 评定的款额
[化] 评估"
tick-box test,无
outdoor activity,室外活动
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
kayak,n. 爱斯基摩人划子
white water,[化] 白水; 纸浆白水
back country,"n. 偏僻地区；边远地区；人烟稀少的农村地区
adj. 偏僻地区的，边远地区的，偏僻乡村的；；偏僻乡村(或穷乡僻壤)特有的"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
[化] 技能"
grow up in,无
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
[计] 最低成本估算与调度法"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
unimportant,a. 不重要的
cheaply,adv. 便宜地
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
[计] 得分"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
[计] 关闭"
still,"adv. 仍然；更；静止地
adj. 静止的，不动的；寂静的，平静的；不起泡的
n. 寂静；剧照；蒸馏室
conj. 仍然；但是；尽管如此
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏
n. (Still)人名；(英、芬、瑞典)斯蒂尔；(德)施蒂尔"
indoor activity,无
learner,"n. 学习者, 初学者"
phone,"n. 电话；电话机；音素；电话听筒
v. 打电话
[网络] 手机；联系电话；电话号码"
