act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子"
activate,
transact,"v.办理,交易,谈判,处理"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
interact,"vi.互相作用,互相影响"
interaction,"n.交互作用,交感"
interactive,adj.交互式的
react,"vi.起反应,起作用,反抗,起反作用"
reaction,"n.反应,反作用,反动(力)"
reactionary,"adj.反作用的,反动的n.反动分子"
enact,"vt.制定法律,颁布,扮演"
actual,"adj.实际的,真实的,现行的,目前的"
actuality,"n.实在,现状"
agency,"n.代理处,行销处,代理,中介"
agent,n.代理(商)
agenda,n.pl.议程
agitate,"v.搅动,摇动,煽动,激动"
antagonism,"n.对抗(状态),对抗性"
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
dialect,"n.方言,语调"
allege,"vt.宣称,断言"
alleged,"adj.声称的,所谓的"
allegedly,adv.依其申述
legend,"n.传说,伟人传,图例 联想集团,中国最大的国有品牌微机制造商之一"
legendary,"n.传奇故事书,传奇文学adj.传说中的"
elect,"vt.选举,推选v.选择,作出选择,选举,选举,选举"
election,"n.选举,当选,选择权,[宗]上帝的选拔"
elector,"n.有选举权的人,选举人,竞选人"
electoral,"adj.选举人的,选举的"
select,"vt.选择,挑选adj.精选的"
selection,"n.选择,挑选,选集,精选品"
delegate,n.代表vt.委派...为代表
delegation,"n.代表团,授权,委托"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
eligible,"adj.符合条件的,合格的"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
neglectful,adj.忽略的
negligent,"adj.疏忽的,粗心大意的"
negligible,"adj.可以忽略的,不予重视的"
intellect,n.智力
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
